fic,date,portret,portretx,n,country,currency
SGP,1986-11-04,-0.00324862,-0.00324862,18,SINGAPORE,SGD
SGP,1986-11-05,-0.018735018,-0.018735018,18,SINGAPORE,SGD
SGP,1986-11-06,-0.013779521,-0.014170539,18,SINGAPORE,SGD
SGP,1986-11-07,-0.008648947,-0.008648947,18,SINGAPORE,SGD
SGP,1986-11-10,-0.019411418,-0.019411418,18,SINGAPORE,SGD
SGP,1986-11-11,-0.003062283,-0.003062283,18,SINGAPORE,SGD
SGP,1986-11-12,0.0225181382,0.0225181382,18,SINGAPORE,SGD
SGP,1986-11-13,-0.000234963,-0.000234963,18,SINGAPORE,SGD
SGP,1986-11-14,-0.008765518,-0.008765518,18,SINGAPORE,SGD
SGP,1986-11-17,-0.001622411,-0.001622411,18,SINGAPORE,SGD
SGP,1986-11-18,0.0162380972,0.0162380972,18,SINGAPORE,SGD
SGP,1986-11-19,-0.006496699,-0.006496699,18,SINGAPORE,SGD
SGP,1986-11-20,-0.001665166,-0.001665166,18,SINGAPORE,SGD
SGP,1986-11-21,-0.034553634,-0.034553634,18,SINGAPORE,SGD
SGP,1986-11-24,-0.007517152,-0.007517152,18,SINGAPORE,SGD
SGP,1986-11-25,0.0269838497,0.0269838497,18,SINGAPORE,SGD
SGP,1986-11-26,-0.010943124,-0.010943124,18,SINGAPORE,SGD
SGP,1986-11-27,-0.0024059,-0.0024059,18,SINGAPORE,SGD
SGP,1986-11-28,-0.013039551,-0.013039551,18,SINGAPORE,SGD
SGP,1986-12-01,0.0131802766,0.0131802766,18,SINGAPORE,SGD
SGP,1986-12-02,0.0166174061,0.0166174061,18,SINGAPORE,SGD
SGP,1986-12-03,0.0018039133,0.0018039133,18,SINGAPORE,SGD
SGP,1986-12-04,-0.000893238,-0.000893238,18,SINGAPORE,SGD
SGP,1986-12-05,0.0066252711,0.0066252711,18,SINGAPORE,SGD
SGP,1986-12-08,0.0026684818,0.0026684818,18,SINGAPORE,SGD
SGP,1986-12-09,-0.0070924,-0.0070924,18,SINGAPORE,SGD
