gamma,regime_source,rebalance_month,strategy,success,objective,VaR_v,theta_used,robust_norm_value,robust_penalty_component,max_weight,effective_n_assets,predicted_state,predicted_state_prob,regime_weight_max,regime_weight_argmax,message
0.02,altdataonly_hmm,2014-01-01,SAA-CVaR,True,0.07022013165822483,0.043978482034295566,0.0,1.0,0.0,0.5503790154010851,2.3146670897691357,3,0.9994061989034589,0.8973573470255928,3,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdataonly_hmm,2014-01-01,DR-CVaR,True,0.1240916878623397,0.06470227104217018,0.012391157325082714,0.11742501108928484,0.029100635726138187,0.11742501108928485,8.948302720918877,3,0.9994061989034589,0.8973573470255928,3,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdataonly_hmm,2014-01-01,RS-CVaR,True,0.06564218686632682,0.046378272872005626,0.0,1.0,0.0,0.7875893220778258,1.5028210136737428,3,0.9994061989034589,0.8973573470255928,3,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdataonly_hmm,2014-01-01,RSDR-CVaR,True,0.12857091832365955,0.07828927021237515,0.01367956747153518,0.10067015792150051,0.027542484353145335,0.10067015792150055,9.99595962836239,3,0.9994061989034589,0.8973573470255928,3,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdataonly_hmm,2014-02-01,SAA-CVaR,True,0.07022013165822483,0.043978482034295566,0.0,1.0,0.0,0.5503790154010851,2.3146670897691357,3,0.9999645102531779,0.8998828972673318,3,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdataonly_hmm,2014-02-01,DR-CVaR,True,0.1240916878623397,0.06470227104217018,0.012391157325082714,0.11742501108928484,0.029100635726138187,0.11742501108928485,8.948302720918877,3,0.9999645102531779,0.8998828972673318,3,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdataonly_hmm,2014-02-01,RS-CVaR,True,0.0652608800512987,0.046378272872005626,0.0,1.0,0.0,0.7875893220778258,1.5028210136737428,3,0.9999645102531779,0.8998828972673318,3,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdataonly_hmm,2014-02-01,RSDR-CVaR,True,0.12808708283011266,0.07828927021237514,0.013652970829321629,0.10067015792150052,0.027488934589708944,0.10067015792150052,9.995959628362387,3,0.9999645102531779,0.8998828972673318,3,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdataonly_hmm,2014-03-01,SAA-CVaR,True,0.07022013165822483,0.043978482034295566,0.0,1.0,0.0,0.5503790154010851,2.3146670897691357,3,0.9990132574398548,0.9010202841313439,3,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdataonly_hmm,2014-03-01,DR-CVaR,True,0.1240916878623397,0.06470227104217018,0.012391157325082714,0.11742501108928484,0.029100635726138187,0.11742501108928485,8.948302720918877,3,0.9990132574398548,0.9010202841313439,3,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdataonly_hmm,2014-03-01,RS-CVaR,True,0.06486789155807904,0.044206647933964914,0.0,1.0,0.0,0.5979583435485373,2.280839706115195,3,0.9990132574398548,0.9010202841313439,3,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdataonly_hmm,2014-03-01,RSDR-CVaR,True,0.1276070485186158,0.07828927021237515,0.013626716719820452,0.10067015792150051,0.0274360744827175,0.10067015792150055,9.995959628362389,3,0.9990132574398548,0.9010202841313439,3,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdataonly_hmm,2014-04-01,SAA-CVaR,True,0.07022013165822483,0.043978482034295566,0.0,1.0,0.0,0.5503790154010851,2.3146670897691357,3,0.99985066415831,0.9036320805809357,3,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdataonly_hmm,2014-04-01,DR-CVaR,True,0.12409168786233969,0.06470227104217013,0.012391157325082714,0.11742501108928483,0.029100635726138184,0.11742501108928485,8.948302720918877,3,0.99985066415831,0.9036320805809357,3,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdataonly_hmm,2014-04-01,RS-CVaR,True,0.06448045970996712,0.044206647933964914,0.0,1.0,0.0,0.5979583435485373,2.280839706115195,3,0.99985066415831,0.9036320805809357,3,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdataonly_hmm,2014-04-01,RSDR-CVaR,True,0.12715804523812294,0.07837740000000021,0.013601115347093266,0.10000000000000013,0.027202230694186546,0.10000000000000495,9.999999999999861,3,0.99985066415831,0.9036320805809357,3,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdataonly_hmm,2014-05-01,SAA-CVaR,True,0.07022013165822483,0.043978482034295566,0.0,1.0,0.0,0.5503790154010851,2.3146670897691357,3,0.9991272922304492,0.9048194866121484,3,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdataonly_hmm,2014-05-01,DR-CVaR,True,0.12409168786233969,0.06470227104217013,0.012391157325082714,0.11742501108928483,0.029100635726138184,0.11742501108928485,8.948302720918877,3,0.9991272922304492,0.9048194866121484,3,Optimization terminated successfully. (HiGHS Status 7: Optimal)
