,Steady_State,Inflation,WOI,Crisis
Steady_State,0.698870765370138,0.04767879548306148,0.24749058971141782,0.005959849435382685
Inflation,0.5445544554455446,0.009900990099009901,0.3811881188118812,0.06435643564356436
WOI,0.3705179282868526,0.019477644975652943,0.5533421868083223,0.0566622399291722
Crisis,0.040123456790123455,0.012345679012345678,0.4382716049382716,0.5092592592592593
