,Mean_%,Vol_%,Sharpe
Equity,9.203340855015094,14.312973934730005,0.6430068899017178
Interest_Rates,3.376870406741478,3.2323906399147395,1.044697495730451
Credit,-0.375134952689961,2.3388345988561032,-0.16039396410222218
Commodities,-0.41590390838608304,14.89209667992181,-0.02792782758030461
Emerging_Markets,-0.8235419239982219,4.80505530058363,-0.17139072757356053
Foreign_Currency,-0.3239068885426088,6.495337555275013,-0.04986759899484463
Local_Inflation,0.4984987317380254,4.7467918265844995,0.10501803111444104
Short_Volatility,-1.0716670609305827,7.090402534421599,-0.15114333152849752
Trend_Following,3.304458350810334,4.5397688070183495,0.7278913291138831
Local_Equity,-0.1331549397702317,6.629560345598826,-0.020085033219228398
FF_Market,-0.15803066081096565,6.859685309046588,-0.02303759628777052
FF_SMB,0.19760469995527474,9.709812661279642,0.020351031152565275
FF_HML,-0.9499303594542338,11.055581919519453,-0.08592314419714633
FF_RMW,0.005445542897240349,6.926285515928042,0.0007862140370502341
FF_CMA,-0.15384953348811103,5.741605095588951,-0.026795561681228753
