,Equity,Interest_Rates,Credit,Commodities,Emerging_Markets,Foreign_Currency,Local_Inflation,Short_Volatility,Trend_Following,Local_Equity,FF_Market,FF_SMB,FF_HML,FF_RMW,FF_CMA
Equity,1.0,-0.196210078219496,-0.019082242620423674,0.0399721414166933,-0.007198040198717667,0.07980974140238484,0.021475167064873027,-0.12228371976607026,-0.15604903360698566,0.006206492820760058,0.0035542429351890685,0.06929999295112169,0.04572075513962637,-0.005545194241271133,-0.004552979861798864
Interest_Rates,-0.196210078219496,1.0,0.002420674080861116,-0.01832187108253492,0.020642519709825488,-0.004389768767222665,-0.004648721224789154,0.006420581486744647,0.058614977306133034,-0.011629398395559584,-0.008356003527800285,0.0011824240253867728,-0.004673702790877872,-0.007039051010173793,0.012712298245237246
Credit,-0.019082242620423674,0.002420674080861116,1.0,0.05115926785011128,0.0014310999477687128,0.015352357840663074,-0.018410685811719184,0.05957369550503449,-0.025641070719713662,0.03768898701023563,0.032308946666065604,-0.013703301280009557,0.0076999074906880256,-0.00016371497401436143,0.001981268189960646
Commodities,0.0399721414166933,-0.01832187108253492,0.05115926785011128,1.0,0.006997313067851822,0.019305927366886827,0.005696431983356371,-0.00588126616569762,-0.07800641136386878,0.0006232794652225387,-0.0002453431460866531,-0.006150612062940573,0.0033888272986767128,0.003274620992402058,0.005500846705549266
Emerging_Markets,-0.007198040198717667,0.020642519709825488,0.0014310999477687128,0.006997313067851822,1.0,-0.07340511195489792,-0.17252293605256097,-0.22641445452316233,-0.018639467998622577,-0.4421878273276228,-0.4040474633055478,0.0031239069246712606,-0.0036710018901809846,-0.008994977504286412,0.007857525259509009
Foreign_Currency,0.07980974140238484,-0.004389768767222665,0.015352357840663074,0.019305927366886827,-0.07340511195489792,1.0,0.19005375597909868,-0.03534800198656638,0.009627256737061593,0.046479992726071506,0.04585680981359469,0.013455383145796156,-0.00781738777723,-0.010217580738048904,0.02234466963096114
Local_Inflation,0.021475167064873027,-0.004648721224789154,-0.018410685811719184,0.005696431983356371,-0.17252293605256097,0.19005375597909868,1.0,-0.045243762847867436,0.0743564314252437,-0.06515959607074241,-0.05749586442481091,0.0008781878295544118,-0.004301575929665935,-0.0018974982033042943,-0.018987129008798665
Short_Volatility,-0.12228371976607026,0.006420581486744647,0.05957369550503449,-0.00588126616569762,-0.22641445452316233,-0.03534800198656638,-0.045243762847867436,1.0,0.10211262175666957,0.5702590092331425,0.5182508127136182,-0.0559225702200578,-0.010202142313317968,0.0019016896829267508,0.0036361946518546147
Trend_Following,-0.15604903360698566,0.058614977306133034,-0.025641070719713662,-0.07800641136386878,-0.018639467998622577,0.009627256737061593,0.0743564314252437,0.10211262175666957,1.0,-0.022461352113453147,-0.019087004938312464,-0.05387965026367293,-0.05829668834646101,0.0037273424897938234,0.04717656992954967
Local_Equity,0.006206492820760058,-0.011629398395559584,0.03768898701023563,0.0006232794652225387,-0.4421878273276228,0.046479992726071506,-0.06515959607074241,0.5702590092331425,-0.022461352113453147,1.0,0.9117562015984785,0.21775309775536175,0.06654573484040076,-0.08523258499643518,-0.04351694027637838
FF_Market,0.0035542429351890685,-0.008356003527800285,0.032308946666065604,-0.0002453431460866531,-0.4040474633055478,0.04585680981359469,-0.05749586442481091,0.5182508127136182,-0.019087004938312464,0.9117562015984785,1.0,0.22648218208145807,0.043811439118724885,-0.12039137190310321,-0.07066729852488325
FF_SMB,0.06929999295112169,0.0011824240253867728,-0.013703301280009557,-0.006150612062940573,0.0031239069246712606,0.013455383145796156,0.0008781878295544118,-0.0559225702200578,-0.05387965026367293,0.21775309775536175,0.22648218208145807,1.0,0.20755066784111775,-0.25984589076690867,0.04403301083673362
FF_HML,0.04572075513962637,-0.004673702790877872,0.0076999074906880256,0.0033888272986767128,-0.0036710018901809846,-0.00781738777723,-0.004301575929665935,-0.010202142313317968,-0.05829668834646101,0.06654573484040076,0.043811439118724885,0.20755066784111775,1.0,0.08394561022917334,0.4216311832620636
FF_RMW,-0.005545194241271133,-0.007039051010173793,-0.00016371497401436143,0.003274620992402058,-0.008994977504286412,-0.010217580738048904,-0.0018974982033042943,0.0019016896829267508,0.0037273424897938234,-0.08523258499643518,-0.12039137190310321,-0.25984589076690867,0.08394561022917334,1.0,0.13462496488234993
FF_CMA,-0.004552979861798864,0.012712298245237246,0.001981268189960646,0.005500846705549266,0.007857525259509009,0.02234466963096114,-0.018987129008798665,0.0036361946518546147,0.04717656992954967,-0.04351694027637838,-0.07066729852488325,0.04403301083673362,0.4216311832620636,0.13462496488234993,1.0
