,Equity,Interest_Rates,Credit,Commodities,Emerging_Markets,Foreign_Currency,Local_Inflation,Short_Volatility,Trend_Following,Local_Equity,FF_Market,FF_SMB,FF_HML,FF_RMW,FF_CMA
Crisis,-0.7157790847413457,0.15934694805707475,-0.13048380606750706,-0.48590387539684476,-0.04277644695095226,-0.022791902604865962,0.017613491236395395,-0.3555564531276096,0.04643463348726146,0.033038116094254735,0.16590199823697566,0.3130348050829941,-0.08774520594284056,-0.11649397918166154,-0.20436056296214122
Steady_State,0.2725096450505895,0.03430812162596592,0.013511510595303037,0.0017764376205336616,0.027680597781149775,-0.01597885305665554,-0.009814005702849647,-0.0008032000006707555,0.029282082054862376,-0.018683362638501667,-0.038934467729452235,-0.040800893943786706,-0.026246160539144383,0.001665222088089118,-0.006365531867550859
WOI,-0.05518688664451353,0.018515983191162676,-0.009908185663199695,0.06675372915402755,-0.051973382245294505,0.016836138049545726,0.022536986680521655,0.033266029550290226,0.03728693347245641,0.0320629249393074,0.013692540665553494,0.0014925847571527133,0.02082041939673723,0.03017298862005887,0.03341758063785394
Inflation,0.16021417297330118,-0.0025187902146422214,-0.004334548777363645,-0.05970333178469357,-0.019633547058719315,0.02651776250278365,0.022034256418597863,-0.11042527497145879,0.024474670747571575,-0.1623717317774414,0.1476867953175455,0.18203016856306448,0.04162269623361439,-0.17467153140009878,0.010045607747308062
