,RF
2008-08-01,8.01409384370011e-05
2008-08-04,7.741754574253079e-05
2008-08-05,7.741754574253079e-05
2008-08-06,7.897399806910954e-05
2008-08-07,7.702833764056116e-05
2008-08-08,7.897399806910954e-05
2008-08-11,7.81958479070255e-05
2008-08-12,7.663909151545134e-05
2008-08-13,7.780671582890974e-05
2008-08-14,8.20850798783912e-05
2008-08-15,8.16963274727911e-05
2008-08-18,7.508172663661661e-05
2008-08-19,7.62498073600959e-05
2008-08-20,7.780671582890974e-05
2008-08-21,7.897399806910954e-05
2008-08-22,7.936301616751074e-05
2008-08-25,7.897399806910954e-05
2008-08-26,7.39133033709205e-05
2008-08-27,7.780671582890974e-05
2008-08-28,7.81958479070255e-05
2008-08-29,7.62498073600959e-05
2008-09-01,7.62498073600959e-05
2008-09-02,7.702833764056116e-05
2008-09-03,7.897399806910954e-05
2008-09-04,7.81958479070255e-05
2008-09-05,7.741754574253079e-05
2008-09-08,7.5471124928006e-05
2008-09-09,7.702833764056116e-05
2008-09-10,8.325110956697301e-05
2008-09-11,7.85849419846496e-05
2008-09-12,8.24737943578846e-05
2008-09-15,0.00010340826023091942
2008-09-16,7.780671582890974e-05
2008-09-17,0.00010959000070798197
2008-09-18,8.480528519427821e-05
2008-09-19,5.83014960653383e-05
2008-09-22,5.947450587262537e-05
2008-09-23,5.75192976255412e-05
2008-09-24,4.6944561201023305e-05
2008-09-25,4.851296093222324e-05
2008-09-26,4.262827574930128e-05
2008-09-29,6.142875511461199e-05
2008-09-30,7.97519962878468e-05
2008-10-01,4.5375543826331466e-05
2008-10-02,2.6498981064992932e-05
2008-10-03,4.341340280400452e-05
2008-10-06,7.702833764056116e-05
2008-10-07,0.00011614760842304506
2008-10-08,8.791181894252098e-05
2008-10-09,5.517178051372973e-05
2008-10-10,3.122651284970246e-05
2008-10-13,3.122651284970246e-05
2008-10-14,4.341340280400452e-05
2008-10-15,4.105755733907479e-05
2008-10-16,3.280111102821337e-05
2008-10-17,2.3738661430350305e-05
2008-10-20,2.768139001307901e-05
2008-10-21,2.6498981064992932e-05
2008-10-22,3.2013889726290046e-05
2008-10-23,3.6734886069256234e-05
2008-10-24,3.752117521416132e-05
2008-10-27,3.634168329846865e-05
2008-10-28,2.6498981064992932e-05
2008-10-29,1.4260163223367428e-05
2008-10-30,1.1887011045930151e-05
2008-10-31,8.720607641343747e-06
2008-11-03,9.116545717002822e-06
2008-11-04,9.116545717002822e-06
2008-11-05,9.116545717002822e-06
2008-11-06,9.116545717002822e-06
2008-11-07,1.0699904655186998e-05
2008-11-10,1.1491348215653119e-05
2008-11-11,1.1491348215653119e-05
2008-11-12,1.3864736012392243e-05
2008-11-13,1.3864736012392243e-05
2008-11-14,1.3469269551036334e-05
2008-11-17,1.4655551191511407e-05
2008-11-18,1.5050899925261874e-05
2008-11-19,1.5050899925261874e-05
2008-11-20,1.9397148728561575e-05
2008-11-21,2.255508161708164e-05
2008-11-24,2.4527519346673188e-05
2008-11-25,2.3344173892159148e-05
2008-11-26,2.0976428054764185e-05
2008-11-27,2.0976428054764185e-05
2008-11-28,2.0581666907881768e-05
2008-12-01,2.0581666907881768e-05
2008-12-02,1.8607274248516603e-05
2008-12-03,1.4260163223367428e-05
2008-12-04,7.92861342602258e-06
2008-12-05,4.759061227099792e-06
2008-12-08,4.759061227099792e-06
2008-12-09,5.155393176359269e-06
2008-12-10,4.362689847159373e-06
2008-12-11,5.551685702931408e-06
2008-12-12,5.947938814809817e-06
2008-12-15,7.136461739776223e-06
2008-12-16,6.740326825349641e-06
2008-12-17,4.759061227099792e-06
2008-12-18,4.362689847159373e-06
2008-12-19,4.362689847159373e-06
2008-12-22,4.362689847159373e-06
2008-12-23,4.362689847159373e-06
2008-12-24,4.362689847159373e-06
2008-12-25,4.362689847159373e-06
