sasdate,state,crisis,p_state0,p_state1,p_state2,p_state3,p_state4,p_state5
1976-03-01,2,0,0.005974332887844452,0.009486611238992314,0.9753956583287668,0.00039706484524342953,9.745742991706675e-08,0.008746235241722605
1976-04-01,2,0,1.4925751411437172e-06,0.001157451299273172,0.8154990313999744,0.0006509113334493511,4.444285469466892e-07,0.1826906689636153
1976-05-01,5,0,7.130952948980052e-15,0.0022850927577878224,0.04453731021114374,0.014913168415541071,0.003326234484548674,0.9349381941309715
1976-06-01,2,0,3.4633858593802993e-07,0.0011609412545657376,0.9917773880195825,0.0011454666251855725,7.630016771192392e-08,0.005915781461912753
1976-07-01,2,0,1.0285905718134846e-05,0.31633779000709406,0.6437083470412068,0.03174499274638571,1.5439621246124463e-06,0.008197040337469983
1976-08-01,2,0,1.280865127111202e-06,0.0021971353207720736,0.9905768837485115,0.0006510682949612697,6.112270052371565e-08,0.006573570647927739
1976-09-01,2,0,4.226513153682023e-05,0.0023571497305303504,0.9664788439274629,0.00034361134497323543,1.3234979192468263e-07,0.03077799751570493
1976-10-01,2,0,9.259880907499631e-08,0.0033374811798571515,0.9774719983540123,0.001919334965627639,9.466526938119509e-08,0.017270998236423914
1976-11-01,2,0,1.6964354658643873e-10,0.1681528727182572,0.7983047597749151,0.033356365162985915,9.4750777576217e-09,0.000185992699119789
1976-12-01,2,0,0.002862206707477132,0.08357131987429643,0.8845125910802806,0.006819374629165284,4.251989745613474e-07,0.022234082509806023
1977-01-01,5,0,1.1541541254251254e-13,0.28172221355015276,0.000982632540248385,0.036019272497541,0.0012578105818627726,0.6800180708300794
1977-02-01,2,0,0.0005605946917348232,0.005560062594809859,0.6086921812050908,0.0006511570892163139,4.131301914453953e-07,0.38453559128895626
1977-03-01,2,0,4.216201491161333e-05,0.005494382752221984,0.8666331968674809,0.0013156989341880025,1.8479720921400415e-07,0.12651437463398743
1977-04-01,2,0,0.010972924865430505,0.04017404327663812,0.6614862684213939,0.0016383436319934307,1.8093441495613128e-06,0.2857266104603939
1977-05-01,5,0,0.005744755719772089,0.10924482931799678,0.4239863157596787,0.0017646124810995136,6.225816815854024e-06,0.4592532609046369
1977-06-01,2,0,0.00029587904585426123,0.2044525906249722,0.7846338537444896,0.00665186533502877,1.0339058667944985e-06,0.0039647773437883485
1977-07-01,5,0,4.367319169751566e-08,0.1412146946385074,0.05821455628219509,0.01270087741831378,0.0006065763738054852,0.7872632516139867
1977-08-01,2,0,0.001157728017005642,0.04451140046201314,0.8123382344875654,0.001655654788981779,3.835896586184423e-06,0.14033314634784766
1977-09-01,5,0,7.223487029561401e-07,0.002546318447045157,0.16317017052519092,0.0004968532411378358,8.231607435220057e-06,0.8337777038304887
1977-10-01,5,0,9.368553517435662e-10,0.0011079615615093336,0.044234280354735284,0.0005339233702573381,1.6395050881943832e-05,0.9541074387257612
1977-11-01,2,0,4.1685914565972445e-05,0.01012331947342434,0.9376897678952084,0.0015527106629986756,2.0825068065805135e-07,0.05059230780312237
1977-12-01,5,0,1.9286616906322654e-07,0.0008138112598211055,0.40652424810023996,0.0005111610441919707,2.035960583685032e-06,0.5921485507689945
1978-01-01,5,0,1.4792521642404588e-06,0.06536814896965959,0.07656574181290322,0.005564417410251359,2.3462819291847364e-05,0.8524767497357306
1978-02-01,5,0,0.0006225141345839565,0.023247433676439267,0.3571688001408032,0.001109246015052791,1.2480368833752953e-06,0.6178507579962379
1978-03-01,2,0,9.715876815156045e-08,0.010567852545994775,0.5274282160905615,0.015192938483192505,1.5915066265057924e-05,0.4467949806552189
1978-04-01,2,0,1.5397985076943433e-10,0.0017600299352271485,0.9731440960712818,0.009903630506098009,4.03261984717259e-05,0.015151917134942136
1978-05-01,5,0,8.802506605095439e-09,0.005881199833830073,0.18642668511235488,0.0035743897196041795,3.137932716946828e-05,0.804086337204535
1978-06-01,5,0,3.425435146320735e-07,0.05369366461127382,0.17835438541955648,0.008560886758524197,0.00015748528204066303,0.7592332353850909
1978-07-01,2,0,4.0802687829538936e-10,0.00027080797240458754,0.9794446542306375,0.0012130979849696178,5.098173589445788e-07,0.019070929586601896
1978-08-01,5,0,7.186849522771556e-11,0.1125143075234499,0.19562020353703863,0.1463523123464258,0.0014211320896237594,0.5440920444315938
1978-09-01,5,0,1.1168228230087377e-12,0.001818644970452238,0.12718539791796735,0.007434401155073294,0.00034153835228473384,0.8632200176031053
1978-10-01,4,0,2.3609286259100132e-52,2.9056945882299176e-08,1.1899400357781513e-09,0.2920253462335436,0.7079746212938315,2.2257404159266322e-09
1978-11-01,2,0,1.1808415533119074e-09,0.028592191920567826,0.8894565808769653,0.030040158175016454,6.71820269172937e-05,0.05184388581969108
1978-12-01,5,0,1.1764504821659555e-20,3.3030944715189046e-05,0.058170505478991476,0.01394452488941639,0.0025956952831333036,0.9252562434037438
1979-01-01,2,0,1.7095119251394478e-13,0.007059645524165619,0.9093204096589655,0.07977706286166299,2.6190872366895444e-06,0.0038402628677984625
1979-02-01,5,0,1.3124765229103446e-18,5.183132056947998e-05,0.11989784313988784,0.015477719065132104,0.00021663038276873619,0.8643559760916425
1979-03-01,2,0,3.072947611708315e-15,0.00041507622464030853,0.9290058178388673,0.015781762081192068,1.3748447681031971e-05,0.05478359540761677
1979-04-01,5,0,4.640176157103324e-16,6.176057574900367e-05,0.1426524795007658,0.0031677849886404905,4.659644457138068e-05,0.8540713784902736
1979-05-01,2,0,2.561565335374776e-18,0.00014146821045768438,0.9515153122454837,0.026448430659206004,4.980891976017655e-06,0.02188980799287602
1979-06-01,2,0,5.927743305816838e-24,6.309324482083803e-05,0.6089665573538651,0.3898635059491506,3.232037451387803e-06,0.0011036114147116097
1979-07-01,5,0,1.0549463906527262e-13,0.0006341788526417382,0.1956065985748137,0.005455751035698296,0.00021743264260108182,0.798086038894139
1979-08-01,5,0,1.9944085587988237e-27,1.529467294097017e-05,0.021890832135296114,0.1969931805238176,0.07423541438846748,0.7068652782794786
1979-09-01,5,0,1.8849502781334226e-29,1.5875380956797425e-06,0.013941372875353986,0.2624987201432084,0.025320925183751505,0.6982373942595921
1979-10-01,4,0,2.9523484560397516e-111,2.312537034073775e-16,5.673795745273659e-23,0.008937566140463106,0.9910624338595353,6.107871173702492e-18
1979-11-01,3,1,2.260456112529441e-50,9.333059038326948e-09,0.0004988129380918782,0.9995010718243695,1.019415724535848e-07,3.96290881981245e-09
1979-12-01,3,1,7.318788559724364e-31,5.111962018323157e-06,0.001752799833225317,0.983639212727238,0.011822604834205478,0.002780270643314352
1980-01-01,3,1,1.2391473883723404e-41,5.805405022309018e-09,1.3838941729990105e-05,0.9976091572399052,0.002363989696423969,1.3008316535017017e-05
1980-02-01,4,0,7.585968781149863e-131,6.684555722584405e-18,4.002414288704461e-27,0.026122611016222368,0.9738773889837793,4.0523383232405e-23
