,state,crisis,p_crisis,p_state0,p_state1,p_state2,p_state3,p_state4,p_state5
2004-01-01,5,0,0.035592960844385055,0.035592960844385055,0.18987972888731142,0.1891332364084294,0.17621493682754816,0.19190251809924802,0.2172766189321135
2004-02-01,5,0,0.053730906262272386,0.053730906262272386,0.17910576362404546,0.1920082109823178,0.15832939342994362,0.20237865673446973,0.21444706896600477
2004-03-01,1,0,0.024707931628001573,0.024707931628001573,0.24035349494590955,0.1592072038319273,0.18582075116014551,0.19459369457610268,0.19531692385693802
2004-04-01,2,0,0.0727588386198093,0.0727588386198093,0.19465498667878733,0.20776307779495987,0.16912766808406002,0.1605947665552587,0.19510066226619763
2004-05-01,4,0,0.017576087118626318,0.017576087118626318,0.2071663929426776,0.1966582639185848,0.17480948685165082,0.22116514074577745,0.18262462842170046
2004-06-01,5,0,0.027538010924707774,0.027538010924707774,0.19924564725864125,0.20933464821491457,0.18601539418099056,0.16480710595333264,0.2130591934664408
2004-07-01,5,0,0.11921083927474263,0.11921083927474263,0.14192169440563204,0.16854222960686027,0.18186957961158498,0.17796444336911746,0.21049121373118176
2004-08-01,3,0,0.021398786000752144,0.021398786000752144,0.17682005829996533,0.17376883532995635,0.21878522128430022,0.2121544930514719,0.19707260603257545
2004-09-01,2,0,0.06971534054716516,0.06971534054716516,0.18558396097312624,0.20645603289707637,0.1986924809712973,0.16478824692130198,0.17476393768910267
2004-10-01,5,0,0.0154097384755763,0.0154097384755763,0.2032615349099349,0.18639892586543572,0.17778439077074018,0.18546336559640134,0.23168204438092682
2004-11-01,1,0,0.0320657946723527,0.0320657946723527,0.2186201602792568,0.19135370476395896,0.1902148425572164,0.15781265500872008,0.2099328427175271
2004-12-01,1,0,0.055380619492825786,0.055380619492825786,0.20431478128065225,0.18019955333820317,0.19215433969004447,0.17835618675580653,0.18959451944152297
2005-01-01,1,0,0.03283739634602074,0.03283739634602074,0.221751992188419,0.20285472167486462,0.21437366669111577,0.1685951829660285,0.15958704013258407
2005-02-01,1,0,0.01888881384618215,0.01888881384618215,0.2246672520756511,0.17218332273998563,0.2191023551678636,0.1650528490927472,0.20010540707658908
2005-03-01,2,0,0.018705269259621266,0.018705269259621266,0.17896311040084448,0.23091385290319077,0.17708619889466112,0.18154877178333334,0.21278279675736775
2005-04-01,5,0,0.023338439273234677,0.023338439273234677,0.16351229315186835,0.1948064967035534,0.19766595809710574,0.19972536189109058,0.22095145088217047
