,Mean_%,Vol_%,Sharpe
Equity,9.203340855015094,14.312973934730005,0.6430068899017178
Interest_Rates,3.376870406741478,3.2323906399147395,1.044697495730451
Credit,-0.3751349526899611,2.3388345988561037,-0.16039396410222218
Commodities,-0.4159039083860832,14.89209667992181,-0.027927827580304623
Emerging_Markets,-0.823541923998222,4.80505530058363,-0.17139072757356053
Foreign_Currency,-0.32390688854260924,6.495337555275013,-0.0498675989948447
Local_Inflation,0.4984987317380254,4.7467918265844995,0.10501803111444104
Short_Volatility,-1.0716670609305827,7.0904025344215995,-0.1511433315284975
Trend_Following,3.304458350810334,4.5397688070183495,0.7278913291138831
Local_Equity,-0.13315493977023168,6.629560345598827,-0.02008503321922839
FF_Market,-0.15803066081096553,6.859685309046587,-0.023037596287770506
FF_SMB,0.19760469995527397,9.709812661279642,0.020351031152565195
FF_HML,-0.9499303594542343,11.055581919519454,-0.08592314419714636
FF_RMW,0.005445542897240115,6.926285515928042,0.0007862140370502003
FF_CMA,-0.15384953348811148,5.741605095588951,-0.02679556168122883
