,MXCXDMHR,RU30INTR,MXEF,BCOMTR,LGY7TRUH,LUACTRUU,LF98TRUU,BCIT5T,EMUSTRUU,PUT
2021-01-01,0.0,0.0,0.0,0.0,0.8430493963497868,0.0,0.1569506036502132,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.844272576959863,0.0,0.155727423040137,0.0,0.0,0.0
2021-01-05,0.0,0.0,0.0,0.0,0.844272576959863,0.0,0.155727423040137,0.0,0.0,0.0
2021-01-06,0.0,0.0,0.0,0.0,0.844272576959863,0.0,0.155727423040137,0.0,0.0,0.0
2021-01-07,0.0,0.0,0.0,0.0,0.843049396349787,0.0,0.15695060365021296,0.0,0.0,0.0
2021-01-08,0.0,0.0,0.0,0.0,0.843049396349828,0.0,0.15695060365016086,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.843049396349828,0.0,0.15695060365016086,0.0,0.0,0.0
2021-01-12,0.0,0.0,0.0,0.0,0.843049396349828,0.0,0.15695060365016086,0.0,0.0,0.0
2021-01-13,0.0,0.0,0.0,0.0,0.843049396349828,0.0,0.15695060365016086,0.0,0.0,0.0
2021-01-14,0.0,0.0,0.0,0.0,0.843049396349828,0.0,0.15695060365016086,0.0,0.0,0.0
2021-01-15,0.0,0.0,0.0,0.0,0.843049396349828,0.0,0.15695060365016086,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.843049396349828,0.0,0.15695060365016086,0.0,0.0,0.0
2021-01-19,0.0,0.0,0.0,0.0,0.843049396349828,0.0,0.15695060365016086,0.0,0.0,0.0
2021-01-20,0.0,0.0,0.0,0.0,0.843049396349828,0.0,0.15695060365016086,0.0,0.0,0.0
2021-01-21,0.0,0.0,0.0,0.0,0.843049396349828,0.0,0.15695060365016086,0.0,0.0,0.0
2021-01-22,0.0,0.0,0.0,0.0,0.843049396349828,0.0,0.15695060365016086,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.8430493963497874,0.0,0.1569506036502145,0.0,0.0,0.0
2021-01-26,0.0,0.0,0.0,0.0,0.8430493963497874,0.0,0.1569506036502145,0.0,0.0,0.0
2021-01-27,0.0,0.0,0.0,0.0,0.8430493963497874,0.0,0.1569506036502145,0.0,0.0,0.0
2021-01-28,0.0,0.0,0.0,0.0,0.8430493963497874,0.0,0.1569506036502145,0.0,0.0,0.0
2021-01-29,0.0,0.0,0.0,0.0,0.8430493963497874,0.0,0.1569506036502145,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.8430493963497874,0.0,0.1569506036502145,0.0,0.0,0.0
2021-02-02,0.0,0.0,0.0,0.0,0.8430493963497874,0.0,0.1569506036502145,0.0,0.0,0.0
2021-02-03,0.0,0.0,0.0,0.0,0.8430493963497874,0.0,0.1569506036502145,0.0,0.0,0.0
2021-02-04,0.0,0.0,0.0,0.0,0.8430493963497874,0.0,0.1569506036502145,0.0,0.0,0.0
2021-02-05,0.0,0.0,0.0,0.0,0.8430493963497874,0.0,0.1569506036502145,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.8430493963497868,0.0,0.1569506036502129,0.0,0.0,0.0
2021-02-09,0.0,0.0,0.0,0.0,0.8430493963497875,0.0,0.15695060365021266,0.0,0.0,0.0
2021-02-10,0.0,0.0,0.0,0.0,0.8430493963497875,0.0,0.15695060365021266,0.0,0.0,0.0
2021-02-11,0.0,0.0,0.0,0.0,0.8430493963497875,0.0,0.15695060365021266,0.0,0.0,0.0
2021-02-12,0.0,0.0,0.0,0.0,0.8430493963497875,0.0,0.15695060365021266,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.8430493963497875,0.0,0.15695060365021266,0.0,0.0,0.0
2021-02-16,0.0,0.0,0.0,0.0,0.8430493963497875,0.0,0.15695060365021266,0.0,0.0,0.0
2021-02-17,0.0,0.0,0.0,0.0,0.8423581465534272,0.0,0.1576418534465741,0.0,0.0,0.0
2021-02-18,0.0,0.0,0.0,0.0,0.8423581465534272,0.0,0.1576418534465741,0.0,0.0,0.0
2021-02-19,0.0,0.0,0.0,0.0,0.8423581465534284,0.0,0.15764185344657147,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.8423581465534278,0.0,0.1576418534465721,0.0,0.0,0.0
2021-02-23,0.0,0.0,0.0,0.0,0.8423581465534278,0.0,0.1576418534465721,0.0,0.0,0.0
2021-02-24,0.0,0.0,0.0,0.0,0.8423581465534339,0.0,0.15764185344657072,0.0,0.0,0.0
2021-02-25,0.0,0.0,0.0,0.0,0.842358146553428,0.0,0.15764185344657197,0.0,0.0,0.0
2021-02-26,0.0,0.0,0.0,0.0,0.8419632046501595,0.0,0.1580367953498324,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.8419632046501595,0.0,0.1580367953498324,0.0,0.0,0.0
2021-03-02,0.0,0.0,0.0,0.0,0.8419632046501595,0.0,0.1580367953498324,0.0,0.0,0.0
2021-03-03,0.0,0.0,0.0,0.0,0.8419632046501595,0.0,0.1580367953498324,0.0,0.0,0.0
2021-03-04,0.0,0.0,0.0,0.0,0.8412416873378448,0.0,0.15875831266215262,0.0,0.0,0.0
2021-03-05,0.0,0.0,0.0,0.0,0.8412416873378448,0.0,0.15875831266215262,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0,0.0,0.8412416873378448,0.0,0.15875831266215262,0.0,0.0,0.0
2021-03-09,0.0,0.0,0.0,0.0,0.8412416873378448,0.0,0.15875831266215262,0.0,0.0,0.0
2021-03-10,0.0,0.0,0.0,0.0,0.8412416873378448,0.0,0.15875831266215262,0.0,0.0,0.0
2021-03-11,0.0,0.0,0.0,0.0,0.8412416873378448,0.0,0.15875831266215262,0.0,0.0,0.0
2021-03-12,0.0,0.0,0.0,0.0,0.8412416873378448,0.0,0.15875831266215262,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0,0.0,0.8412416873378472,0.0,0.15875831266215346,0.0,0.0,0.0
2021-03-16,0.0,0.0,0.0,0.0,0.8412416873378472,0.0,0.15875831266215346,0.0,0.0,0.0
2021-03-17,0.0,0.0,0.0,0.0,0.8412416873378472,0.0,0.15875831266215346,0.0,0.0,0.0
2021-03-18,0.0,0.0,0.0,0.0,0.840539119811173,0.0,0.1594608801888265,0.0,0.0,0.0
2021-03-19,0.0,0.0,0.0,0.0,0.8389068811665571,0.0,0.1610931188334435,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.8389068811665571,0.0,0.1610931188334435,0.0,0.0,0.0
2021-03-23,0.0,0.0,0.0,0.0,0.8389068811665571,0.0,0.1610931188334435,0.0,0.0,0.0
2021-03-24,0.0,0.0,0.0,0.0,0.8389068811665571,0.0,0.1610931188334435,0.0,0.0,0.0
2021-03-25,0.0,0.0,0.0,0.0,0.8389068811665571,0.0,0.1610931188334435,0.0,0.0,0.0
2021-03-26,0.0,0.0,0.0,0.0,0.8389068811665571,0.0,0.1610931188334435,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0,0.8389068811665571,0.0,0.1610931188334435,0.0,0.0,0.0
2021-03-30,0.0,0.0,0.0,0.0,0.8389068811665571,0.0,0.16109311883344254,0.0,0.0,0.0
2021-03-31,0.0,0.0,0.0,0.0,0.8389068811665443,0.0,0.16109311883346625,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,0.0,0.8389068811665443,0.0,0.16109311883346625,0.0,0.0,0.0
2021-04-02,0.0,0.0,0.0,0.0,0.8389068811665443,0.0,0.16109311883346625,0.0,0.0,0.0
2021-04-05,0.0,0.0,0.0,0.0,0.8389068811665443,0.0,0.16109311883346625,0.0,0.0,0.0
2021-04-06,0.0,0.0,0.0,0.0,0.8389068811665443,0.0,0.16109311883346625,0.0,0.0,0.0
2021-04-07,0.0,0.0,0.0,0.0,0.8389068811665443,0.0,0.16109311883346625,0.0,0.0,0.0
2021-04-08,0.0,0.0,0.0,0.0,0.8404079211482036,0.0,0.15959207885179644,0.0,0.0,0.0
2021-04-09,0.0,0.0,0.0,0.0,0.8404079211482036,0.0,0.15959207885179644,0.0,0.0,0.0
2021-04-12,0.0,0.0,0.0,0.0,0.8404079211482037,0.0,0.15959207885179627,0.0,0.0,0.0
2021-04-13,0.0,0.0,0.0,0.0,0.8404079211482045,0.0,0.15959207885179463,0.0,0.0,0.0
