,Equity,Interest_Rates,Credit,Commodities,Emerging_Markets,Foreign_Currency,Local_Inflation,Short_Volatility,Trend_Following,Local_Equity,FF_Market,FF_SMB,FF_HML,FF_RMW,FF_CMA
Crisis,-0.7157790847413457,0.15934694805707475,-0.13048380606750706,-0.48590387539684476,-0.042776446950952236,-0.022791902604865952,0.01761349123639538,-0.3555564531276096,0.046434633487261505,0.03303811609425484,0.16590199823697566,0.313034805082994,-0.08774520594284052,-0.11649397918166156,-0.20436056296214128
Steady_State,0.2725096450505895,0.03430812162596592,0.013511510595303032,0.001776437620533655,0.027680597781149775,-0.01597885305665554,-0.009814005702849647,-0.0008032000006707561,0.029282082054862366,-0.018683362638501667,-0.03893446772945223,-0.040800893943786685,-0.026246160539144383,0.0016652220880891194,-0.006365531867550857
WOI,-0.05518688664451353,0.018515983191162676,-0.009908185663199695,0.06675372915402755,-0.05197338224529451,0.01683613804954572,0.02253698668052166,0.03326602955029022,0.03728693347245641,0.032062924939307395,0.01369254066555349,0.0014925847571527259,0.02082041939673723,0.030172988620058867,0.033417580637853946
Inflation,0.16021417297330118,-0.0025187902146422214,-0.004334548777363646,-0.059703331784693565,-0.019633547058719322,0.02651776250278364,0.022034256418597863,-0.11042527497145876,0.024474670747571564,-0.1623717317774414,0.1476867953175455,0.18203016856306448,0.04162269623361437,-0.17467153140009878,0.010045607747308066
