,MXCXDMHR,RU30INTR,MXEF,BCOMTR,LGY7TRUH,LUACTRUU,LF98TRUU,BCIT5T,EMUSTRUU,PUT
2021-01-01,9.556827958956134e-16,0.03532257664130042,0.01692979170003234,0.0,0.7931366418244322,0.0,0.0,0.15461098983423402,0.0,0.0
2021-01-04,0.0,0.03454302227502765,0.020571652919216973,1.6809086285292405e-14,0.7755430582965395,1.6529117794441324e-14,0.0,0.1693422665091604,6.453183305608335e-15,1.5518987329016338e-14
2021-01-05,0.0,0.02680267611174679,0.02958817799174251,4.977902471808831e-16,0.7666562565628451,0.0,0.0,0.17695288933366268,8.330551635868606e-16,1.6420962310195533e-15
2021-01-06,0.0,0.026836390741645056,0.032007259256304106,1.619264471986893e-15,0.7600345284230751,3.579448514578721e-15,0.0,0.18112182157896628,3.9142709306957593e-16,3.918581607578256e-15
2021-01-07,1.3339772424635305e-15,0.03101610015986406,0.02985713261112854,0.0,0.7406093399972327,5.808062991497e-16,0.0,0.19851742723177276,0.0,0.0
2021-01-08,0.0,0.03233486285778797,0.040105424121237555,0.0,0.7052443760887304,0.0,0.0,0.22231533693224398,0.0,0.0
2021-01-11,0.0,0.0276123001633444,0.052102545170496804,0.0,0.7386160652651719,2.4304969481566635e-13,0.0,0.18166908940074392,0.0,0.0
2021-01-12,2.978783429054917e-14,0.025253037278577743,0.06371666892503451,4.279581403777522e-14,0.6869298593584476,0.0,2.84075862838555e-14,0.22410043443776062,3.925733761453104e-14,3.9326637086851106e-14
2021-01-13,0.0,0.029339956610600144,0.0698596938288627,0.0,0.6247266614548317,7.306151023728554e-15,0.0,0.27607368810569816,0.0,0.0
2021-01-14,4.055329692529825e-16,0.02873839360983216,0.08418625006455782,8.093620656117311e-16,0.5883200764700769,0.0,1.9132576301461772e-16,0.2987552798555297,2.643978089825241e-16,1.7397228697688133e-15
2021-01-15,6.873373605140447e-17,0.022067832263808183,0.09137797099976484,0.0,0.5977366807832166,1.169844920323625e-15,0.0,0.2888175159532089,0.0,0.0
2021-01-18,0.0,0.02199484455966005,0.09291098435822685,0.0,0.5689464908742711,1.8281237717949586e-15,0.0,0.3161476802078401,0.0,0.0
2021-01-19,0.0,0.011867386273900233,0.1253804114742534,0.0,0.5125861334519358,0.0,2.621139344338256e-16,0.3501660687999102,0.0,0.0
2021-01-20,7.807453687080366e-17,0.013037190620840045,0.14027282880304992,0.0,0.49432607457527916,0.0,2.0513583198387698e-16,0.35236390600083056,0.0,0.0
2021-01-21,2.2512744920461195e-16,0.00920818404914169,0.15520687821931428,0.0,0.43802727059317004,0.0,0.0,0.39755766713837326,0.0,5.434352277299993e-16
2021-01-22,3.936919030932271e-17,0.012001721415161301,0.1454980889972011,5.4264647695902076e-17,0.336169576127533,0.0,0.0,0.506330613460103,5.523822736163741e-16,1.018862270692103e-15
2021-01-25,0.0,0.012078269339273048,0.12495287667268024,0.0,0.42692893480731675,0.0,0.0,0.43603991918073,0.0,0.0
2021-01-26,0.0,0.012039532891446226,0.1128443641117435,0.0,0.5029879804767681,0.0,0.0,0.37212812252004224,0.0,0.0
2021-01-27,0.0,0.015146218261186114,0.11621116732837078,0.0,0.46143545922001344,0.0,2.825650017614837e-16,0.4072071551904293,0.0,0.0
2021-01-28,0.0,0.0033883466539830487,0.1307912998369932,1.3758401353108087e-16,0.4209072743806032,2.849680372095642e-17,0.0,0.44491307912842043,0.0,0.0
2021-01-29,0.0,0.019934416368798086,0.09888724547724725,0.0,0.3662348088401151,1.5363078031142607e-15,0.0,0.5149435293138379,0.0,0.0
2021-02-01,3.55926807139945e-15,0.019216599886265635,0.08761797050376545,3.88731609159364e-15,0.3360395467711671,0.0,2.4627076827371767e-15,0.557125882838784,3.261441875851458e-15,4.732952889863922e-15
2021-02-02,0.0,0.015162737176246647,0.1058239350026659,0.0,0.37163125062023356,6.561277042219172e-16,0.0,0.5073820772008532,0.0,0.0
2021-02-03,4.963230519224879e-16,0.015321400401177474,0.1227465260415235,0.0,0.2876942239055683,2.5364959139411075e-16,9.420106933672752e-18,0.5742378496517294,6.647324644624224e-16,0.0
2021-02-04,3.7956415821709437e-16,0.013036032179756013,0.13559704976040413,3.5552557223721193e-16,0.22860165642305652,1.0380755409850208e-16,8.094898793921596e-17,0.6227652616367815,2.274922223969404e-16,6.869754204512783e-16
2021-02-05,0.0,0.017149883761603084,0.14900972332301857,4.0867379604557133e-16,0.15521535419036453,8.766347083569364e-17,0.0,0.6786250387250132,0.0,0.0
2021-02-08,4.591912343140626e-16,0.019346266801664725,0.15366259113481306,5.941406195472083e-17,0.06911739532467777,1.877561488954421e-16,0.0,0.7578737467388426,0.0,1.1424614170930728e-15
2021-02-09,7.428678375543517e-17,0.020858365905311246,0.17073983996052133,0.0,0.0,2.3767509334227956e-17,8.760881490013939e-17,0.8084017941341669,5.460848341122526e-16,0.0
2021-02-10,1.9902061733051017e-16,0.01745065084749689,0.18989658031783052,0.0,0.0,0.0,2.4541862892703585e-17,0.7926527688346723,3.31136055382177e-16,0.0
