,Crisis,WOI,Steady_State,Inflation
Crisis,0.5036101083032491,0.427797833935018,0.04332129963898917,0.02527075812274368
WOI,0.08574879227053141,0.539049919484702,0.3506441223832528,0.02455716586151369
Steady_State,0.014705882352941176,0.29816176470588235,0.6375,0.04963235294117647
Inflation,0.10697674418604651,0.44651162790697674,0.4232558139534884,0.023255813953488372
