,CVaR (Regime),DRO (Regime),CVaR (Unconditional),Equal Weight,Risk Parity,MVO
2021-01-01,4.3393241673429434e-05,4.3393241673429434e-05,4.3393241673429434e-05,4.3393241673429434e-05,4.3393241673429434e-05,4.3393241673429434e-05
2021-01-04,0.00017875046102423098,0.00017875046102423098,0.00040518505405502106,-0.0007793474565844864,0.00020797724089077123,0.00030488282304138057
2021-01-05,-9.195947165227716e-05,-9.195947165227716e-05,-0.00032960218158203014,0.004309977575914701,0.0013093293095702684,-9.274517954637726e-05
2021-01-06,-0.001320571763802554,-0.001320571763802554,-0.001795652470795104,-0.0005829080168878573,-0.0022281812804303444,-0.0022542551894909743
2021-01-07,-0.00016311146499783425,-0.00016311146499783425,-0.0008581427005320871,0.003914906450674145,0.0009703894987266673,-0.00019043825668775105
2021-01-08,-0.0003544209534481718,-0.0003544209534481718,-0.0003094915985635602,0.0021410980167260955,-0.00021171757332140093,-0.0008855029188534296
2021-01-11,-0.0011063450964748686,-0.0011063450964748686,-0.0010304280074969565,-0.002216438709464399,-0.001565937785062636,-0.00119750367250365
2021-01-12,-0.0009668645291107856,-0.0009668645291107856,-0.001551124168211158,0.0016230860935686705,0.0001666387863149593,-0.0007779621337099989
2021-01-13,0.002104624965137404,0.002104624965137404,0.002435826509009283,0.0025487597240303364,0.002709496098689667,0.002862165508476399
2021-01-14,0.0006052801007315486,0.0006052801007315486,-1.5130906049931885e-05,0.0010361448461059645,0.00041914506902022205,8.443624197610743e-05
2021-01-15,-0.00012560470268085456,-0.00012560470268085456,0.00044383283764581406,-0.002929615395929961,-0.000788882292336644,3.708426037011159e-05
2021-01-18,-0.0005320463663158829,-0.0005320463663158829,-0.0006378333248722635,-1.912229993791371e-05,-0.00021976777120670123,-0.00038833447141301463
2021-01-19,0.0008264417093587326,0.0008264417093587326,0.0007146399081968867,0.00391538150621697,0.002091920693308786,0.0027481846199394707
2021-01-20,0.0003963094488658796,0.0003963094488658796,0.00028300492530056355,0.005074705707966256,0.002289173289974701,0.0025261291342927985
2021-01-21,-0.0011104890168891948,-0.0011104890168891948,-0.001232871601593,0.00032327418334018935,-0.0002013196657511528,0.000882436991266163
2021-01-22,-0.000620317797104428,-0.000620317797104428,-0.00022092658511089577,-0.003239406653413989,-0.001770127396807577,-0.0018556899713014921
2021-01-25,0.0019876277474395075,0.0019876277474395075,0.0019526230147435544,0.004003901581079106,0.003166706583191405,0.004241362255709995
2021-01-26,-0.0002954838298211358,-0.0002954838298211358,-6.609396331338019e-06,-0.0016594263575077008,-0.0005386198508356475,-0.002081794698611727
2021-01-27,-0.0008420111486608891,-0.0008420111486608891,8.817956222489335e-05,-0.007442022359488906,-0.0026456781318881517,-0.001167280930629956
2021-01-28,-0.0002313608676496363,-0.0002313608676496363,-0.0002735618988403422,-9.204102375817832e-05,-0.00037072173092650613,-0.0012495403248489363
2021-01-29,-0.001739048381831494,-0.001739048381831494,-0.0013972065322874114,-0.006542028607642206,-0.0030884718551494987,-0.003206446987566704
2021-02-01,0.00022690311819348658,0.00022690311819348658,0.00016525148227408346,0.008659134173352338,0.0036701890581200556,0.0019900852068927273
2021-02-02,-0.000282953719617367,-0.000282953719617367,-0.0007690106396428264,0.00470357948991002,0.0014035114751890752,0.0019146474348202482
2021-02-03,-0.00044186137122521755,-0.00044186137122521755,-0.00028529808598202675,0.0019100214357274299,0.0005776765402420805,0.0007983865579359928
2021-02-04,-0.0003408130782248055,-0.0003408130782248055,-0.00035643954151549516,0.0022622413542520477,0.0007224603737948079,-0.0007894398940092163
2021-02-05,0.00010749337160284817,0.00010749337160284817,-0.0003679672100513374,0.0024271222844107505,0.00091818221288184,0.0008930830639065165
2021-02-08,-3.5130600382898424e-05,-3.5130600382898424e-05,-0.0001260114597373412,0.00372595001650213,0.0018374865574578758,0.0010460208701742817
2021-02-09,0.0005767945709912925,0.0005767945709912925,0.00044086847434522203,0.001205208066294604,0.0007828046808979138,0.001953627264832048
2021-02-10,0.00011896177673777867,0.00011896177673777867,0.00013474439477141262,0.0012808601645816823,0.0009097905458786883,0.0025266517983184265
2021-02-11,0.0005103843201241494,0.0005103843201241494,0.0005963397458005488,0.0006540053218389373,0.0001732591957686399,-0.00035736999012682413
2021-02-12,-0.0007696127060360113,-0.0007696127060360113,-0.0012414486691852242,0.0009126267317404522,-0.0005481518881958836,-0.0008606636996546634
2021-02-15,-0.0012818278916825944,-0.0012818278916825944,-0.0016338371785596412,0.0007860578439959316,-0.00023554532636482214,0.0012889339275865479
2021-02-16,-0.001964766920555748,-0.001964766920555748,-0.0020456292044984145,-0.0004493175067647691,-0.001898396424816191,-0.0036758076171036942
2021-02-17,-0.0003512347561525122,-0.0003512347561525122,-0.00046988940769241875,0.00021200748911840106,7.047536656774509e-05,-0.0006111427625953634
2021-02-18,-0.0009256129044351224,-0.0009256129044351224,-0.0011718533644947183,-0.003162597559161667,-0.0020172896644938404,-0.006644492216387373
2021-02-19,-0.0014836401164152271,-0.0014836401164152271,-0.0016235638762310577,-0.00111023732933611,-0.001992924936153332,-0.002203521609366292
2021-02-22,-0.000605315979382955,-0.000605315979382955,-0.000538201062125304,-0.00397787141502412,-0.0021211897347477747,-0.006179077651114398
2021-02-23,-0.0005880418097300866,-0.0005880418097300866,-0.0006674950442495084,-0.00015753155468851155,-0.00034677323616242185,0.0006025751768149577
2021-02-24,-0.0007143071017242031,-0.0007143071017242031,-0.0011028229423018616,0.0013113489661471657,4.172904199133956e-06,-0.001641268286613028
2021-02-25,-0.005736822377220901,-0.005736822377220901,-0.005431138780200347,-0.010020551383305645,-0.008314304184317172,-0.006361615230581941
2021-02-26,0.00150410608470192,0.00150410608470192,0.001184945263233108,-0.00410066059939607,0.00031987005575807403,-0.008289308039501977
2021-03-01,0.0033828733579924037,0.0033828733579924037,0.003115670378242259,0.007468107801871231,0.003398486526611992,0.001788867924365797
2021-03-02,0.0005622892425271931,0.0005622892425271931,0.000974350020614037,-0.0008559920518038511,0.000734032587834815,0.003052094885973352
2021-03-03,-0.00167019819899717,-0.00167019819899717,-0.0021170554709465726,-0.0035757254772907643,-0.0030001160089611085,-0.0016885634866287552
2021-03-04,-0.0017417175670111054,-0.0017417175670111054,-0.0014527570564165906,-0.008140050687614295,-0.004835455079749465,-0.006241390672093417
2021-03-05,-0.00048484931373800224,-0.00048484931373800224,-0.000321393928045026,0.004204369333522171,0.0013758895552883487,0.003768099211472993
