,CVaR (Regime),DRO (Regime),CVaR (Unconditional),Equal Weight,Risk Parity,MVO
2021-01-04,-0.014502405884067322,-0.014502405884067322,-0.014502405884067322,-0.014502405884067322,-0.014502405884067322,-0.014502405884067322
2021-01-05,0.0026355682224097066,0.0026355682224097066,1.5270958216389164e-05,0.009428541535182586,0.00794956678740615,0.006468487408941911
2021-01-06,0.0032170540252098962,0.0032170540252098962,0.0007256775107879305,0.014454800119057804,0.012947512628564129,-0.017395771197107574
2021-01-07,-0.0013033905754412367,-0.0013033905754412367,-0.0029313797295991797,0.009140532354999769,0.008705120198752237,0.02659735442628918
2021-01-08,0.00494491457753691,0.00494491457753691,0.004937164665597255,0.004514407834782605,0.00495034940696324,0.008674216812864406
2021-01-11,-0.008556739526216928,-0.008556739526216928,-0.008596503797403095,-0.00516429036787288,-0.006133664580549,-0.01247304417028786
2021-01-12,-0.004353128022967826,-0.004353128022967826,-0.003377235715286973,0.0038589253514898754,0.002058347172971587,0.009786955291928502
2021-01-13,0.007380031099437129,0.007380031099437129,0.0015200843403517829,0.001781389139236046,0.0021089725764352,0.0026115312941585047
2021-01-14,-0.004844966952932167,-0.004844966952932167,-0.005301825466969172,0.0006093692161370781,-0.0008336144871994242,-0.006383274503490105
2021-01-15,-0.0034983904251679222,-0.0034983904251679222,-0.0034699123241579504,-0.006732336112958812,-0.005108727839846295,-0.008087590156205719
2021-01-19,-0.003400492133648377,-0.003400492133648377,-0.0043337586458182436,0.0053032049916029115,0.004777460739034294,0.006047510972465272
2021-01-20,0.00514068323139184,0.00514068323139184,0.0019583560106960587,0.01018242571701288,0.010509420321383573,0.018715328471754118
2021-01-21,-0.0037631474663066935,-0.0037631474663066935,-0.003366720458178274,-0.0058047461858903105,-0.0045115104183969,0.0048730501398523704
2021-01-22,-0.0012210407569449833,-0.0012210407569449833,-0.002608945408567841,-0.002813894191875584,-0.002646541118061575,-0.003403800067937026
2021-01-25,0.01151734550283598,0.01151734550283598,0.009939562703959926,0.003040280883992096,0.003968774125570441,0.003842734598248283
2021-01-26,0.005943773382679185,0.005943773382679185,0.008937402864176306,-0.003079675804340584,-0.0018064324718511608,-0.0006444118059157105
2021-01-27,-0.01935023303905687,-0.01935023303905687,-0.01703475805380273,-0.024068626256824932,-0.024530517583343514,-0.03131392436576197
2021-01-28,0.004490917179076827,0.004490917179076827,0.00382795872067651,0.009601907676499747,0.00921372407956039,0.0031675659487041923
2021-01-29,-0.014875510916698418,-0.014875510916698418,-0.020845629853360192,-0.018815298636130053,-0.018195434471523903,-0.02363756763536963
2021-02-01,0.0009544986981979843,0.0009544986981979843,0.0009359903297475768,0.012996255969198983,0.012701704497190243,0.025562768325097577
2021-02-02,0.006886298698269774,0.006886298698269774,0.006583551358461993,0.012758516360766005,0.012364778552884828,0.021014539996061385
2021-02-03,0.0010920782883973505,0.0010920782883973505,0.0012575086559932693,0.0037883429707903926,0.002264823991013996,-0.004769452553455236
2021-02-04,0.0066327017060099505,0.0066327017060099505,0.007084638503620133,0.008832049259517916,0.008384004770416578,0.011492644545175719
2021-02-05,0.005922358724427505,0.005922358724427505,0.009000855601187555,0.0064957599916619525,0.006655241728389518,0.008034884726902267
2021-02-08,0.0009930997696593032,0.0009930997696593032,0.00367495525810867,0.008182251956408267,0.006653381697337805,0.006545628040571188
2021-02-09,-9.888581085753319e-05,-9.888581085753319e-05,-0.0007577584909818267,-0.0011060114586470442,-0.0007639264213930853,-0.005557775395658843
2021-02-10,-0.0010541575029300286,-0.0010541575029300286,-0.0008274842026976872,0.002347960640250493,0.0016639346442067354,-0.009918297062503747
2021-02-11,-0.003430430547057209,-0.003430430547057209,-0.004064900336337212,-0.0018791069256196414,-0.0014202550823816423,-0.0025652147141543027
2021-02-12,0.0028920083016244044,0.0028920083016244044,0.001825860451541413,0.004959377881398347,0.004476911787164629,0.0029190441894478654
2021-02-16,-0.0006923940234462122,-0.0006923940234462122,-0.002143012012296576,0.0002082924468477861,-0.001078248758267335,-0.0030105575687069184
2021-02-17,0.0036537460118506787,0.0036537460118506787,0.0036514838120345326,0.0022742580241864718,0.0020065127360431737,-0.0036900997001618856
2021-02-18,-0.001779089864853926,-0.001779089864853926,-0.0006204694638160753,-0.004635333574282799,-0.0038802187223610737,-0.0034791061287527637
2021-02-19,-0.012795472465921526,-0.012795472465921526,-0.012691893654474685,0.0008107606689872137,-0.0008888763000246315,-0.0055372596157240534
2021-02-22,-0.0006322505365838505,-0.0006322505365838505,0.0009232412637792941,-0.0011582595157218956,-0.0026460126459026787,-0.01734410447812712
2021-02-23,0.001383545593472658,0.001383545593472658,0.0013838443321864161,0.0035450002386816525,0.0028515112972200955,-0.0026982701393565836
2021-02-24,-0.0013218567009641176,-0.0013218567009641176,-0.0006143190613093304,0.009825311327186562,0.00832053977540775,0.006164719427298838
2021-02-25,-0.0105582629701474,-0.0105582629701474,-0.010974942889390316,-0.020170190885111634,-0.019850236285818397,-0.024023718998436187
2021-02-26,-0.012069454011132234,-0.012069454011132234,-0.01629608376306581,-0.01039634432688341,-0.009642699517162078,0.0020094094112636817
2021-03-01,0.01170407176543618,0.01170407176543618,0.010059768246831679,0.02116092645896319,0.02041127809198174,0.025212318452436766
2021-03-02,-0.002327287843752158,-0.002327287843752158,-0.0017219270636112864,-0.005020060823200615,-0.004922855805400606,-0.007705800333935907
2021-03-03,-0.007795831864159614,-0.007795831864159614,-0.004710912774223153,-0.008353833545988655,-0.009516705133750497,-0.015069167489028663
2021-03-04,-0.0036373611076917253,-0.0036373611076917253,-0.0036269284089973475,-0.008591437562340853,-0.009561195354813623,-0.006329362971299606
2021-03-05,0.02178795541249138,0.02178795541249138,0.0218759255990941,0.019935447492436194,0.01938610700877345,0.02309946144266253
2021-03-08,0.005413114914455517,0.005413114914455517,0.00431825775648868,0.0020252290070426407,0.0016888641135468117,-0.013446651840942996
2021-03-09,0.0006403251681191752,0.0006403251681191752,-0.0009238257512386667,0.007833412352696837,0.008832112703376065,0.011099537342880501
2021-03-10,0.010573804849074978,0.010573804849074978,0.013007984761623714,0.010321779223218669,0.009481139989069654,0.006447553993201002
2021-03-11,-0.002435673023159288,-0.002435673023159288,-0.002435673023159288,0.006762554692003223,0.00690270842498377,0.01455847496167308
2021-03-12,0.00637790293710411,0.00637790293710411,0.00819670554373517,0.005628730557651953,0.005505915025024068,-0.0006597620833032611
2021-03-15,0.006674602519926418,0.006674602519926418,0.00437458617602769,0.005314545705571596,0.006033842576168324,0.005004071201220138
2021-03-16,0.0034891462455098818,0.0034891462455098818,0.0012031984607033341,-0.004784076270616355,-0.0034974154288115017,0.003956622615039349
2021-03-17,-0.0020544377654241495,-0.0020544377654241495,-0.001504390219477432,0.0022742876889180587,0.0018836711738752625,0.004099108042482687
2021-03-18,-0.005211435360894206,-0.005211435360894206,-0.004073394417253738,-0.012104011618672942,-0.010867776056229262,-0.0170627829494016
2021-03-19,0.003928428529680874,0.003928428529680874,0.0034710040637670903,-0.001456549419690829,-0.0006919647140015467,0.00608450804982665
2021-03-22,0.006999413071957879,0.006999413071957879,0.010501682386813083,0.0036867464625875805,0.00490365096462477,0.00605816040716268
2021-03-23,0.00467521054498665,0.00467521054498665,0.004188009380548745,-0.007149705350922729,-0.006317430483262937,-0.010785795831027687
2021-03-24,-0.0026723027303116004,-0.0026723027303116004,-0.003888405412990377,-0.0017149429268644174,-0.003370763628645336,-0.016314590800685008
2021-03-25,0.008122294014512782,0.008122294014512782,0.009692257606670219,0.007891365176379547,0.007753223822555635,0.003179683449190263
2021-03-26,0.018550415918648495,0.018550415918648495,0.017504220316865257,0.01524505088940944,0.014661317911972026,0.004568541383226552
2021-03-29,0.010099170664740325,0.010099170664740325,0.01001115627699726,-0.00012300988517309751,0.0012083790648188101,0.0046655207812637805
2021-03-30,-0.010568733527667249,-0.010568733527667249,-0.010740514504156702,-0.003008827522622313,-0.0034056639251339223,-0.0005459200976827478
2021-03-31,-0.00040314606958966753,-0.00040314606958966753,-0.0032151390062546913,0.0006270851474276973,0.0009414951875703065,0.0001515687634899435
