,MXCXDMHR,RU30INTR,MXEF,BCOMTR,LGY7TRUH,LUACTRUU,LF98TRUU,BCIT5T,EMUSTRUU,PUT
2021-01-01,0.037458344608403644,0.028948503171999374,0.04247992184553465,0.061346697272937345,0.3210121765006071,0.12037165859533705,0.09627904896935618,0.13219393345090694,0.12242077405792097,0.03748894152699674
2021-01-04,0.03744372215545888,0.02893736110053646,0.04247518548496359,0.06133915648104004,0.3212004660876247,0.12035254423097895,0.09624172260986788,0.1321416681520197,0.12239382202363329,0.037474351673876534
2021-01-05,0.037444522039955415,0.02891955020304727,0.04244777737520451,0.061310065422931756,0.32124990786343244,0.1203178569630115,0.09624874880711666,0.13218151359541105,0.1224099608941497,0.037470096835739784
2021-01-06,0.037472811032874434,0.028937437767405885,0.042444988840669086,0.06086773639510303,0.3214651447306258,0.12020439897093275,0.09632965932982834,0.13229750095901946,0.12248218077417673,0.0374981411993644
2021-01-07,0.03753698103887255,0.028983695655421735,0.042517732709906296,0.06097894896304355,0.32108878652487,0.11990677883720072,0.09650559917631112,0.13236457501295537,0.12255078749290668,0.03756611458851195
2021-01-08,0.03746911052229952,0.02893076076096972,0.04257970285117094,0.06098474667913035,0.3213018062384048,0.11998193064984368,0.09641641631903035,0.13240119375780993,0.1224117824696458,0.0375225497516948
2021-01-11,0.037484221573329285,0.02895371967307903,0.042435884655187606,0.06101335846909059,0.3215207176193784,0.12008213095827448,0.09650092607649835,0.13194417702148478,0.12251017887582782,0.03755468507784973
2021-01-12,0.037449331245107347,0.028926431733278784,0.04243957905314355,0.060995785483305726,0.32202914413441847,0.11997001088328758,0.09643836667197059,0.13185953427996713,0.12236656526487316,0.03752525125064761
2021-01-13,0.03745975421769033,0.028942186049616892,0.042448438714615545,0.06094044730965132,0.3219357590060118,0.1200625176070628,0.09646514098685557,0.13194954186697536,0.12225793831094751,0.037538275930572816
2021-01-14,0.03745539626594078,0.028918192963164654,0.04243999750228821,0.06104652841060322,0.32295066694952224,0.11957164492489088,0.09640752767478576,0.1317161367780635,0.12199368889918713,0.03750021963155345
2021-01-15,0.03745722844565744,0.02892203638595339,0.04242729930207087,0.06097884779820035,0.32305952234792784,0.1195291105799659,0.0964251270318257,0.1317105455348832,0.12198197351729755,0.037508309056217874
2021-01-18,0.03742902344774931,0.028903936542608675,0.042382935150795206,0.060899640052767205,0.32326191702610624,0.11956688979797951,0.09639389298659841,0.13169555060576557,0.12197030974705009,0.037495904642579785
2021-01-19,0.037402331099023196,0.0288805927306258,0.04255568949143521,0.060953243147219595,0.32342090516643585,0.11946737691424376,0.09632919034708569,0.13165424748168317,0.12186929769584144,0.037467125926406344
2021-01-20,0.037420753136826,0.028902162087259847,0.04249362777715328,0.060916122576731596,0.3236182157592202,0.11939526539736989,0.09628556404524535,0.13164679087973424,0.12182403971547143,0.03749745862498816
2021-01-21,0.03739712926623818,0.028889792081039523,0.042430717619935145,0.0610217443363496,0.3235985430726548,0.11938903968090078,0.09627269084874593,0.13169038693838198,0.12181178992084754,0.03749816623490655
2021-01-22,0.03740877032867594,0.028884037972560797,0.04256937543530504,0.060957776597058345,0.32363516466512166,0.11935203555029499,0.09618269054096215,0.13182934759703302,0.12169170945117437,0.03748909186181371
2021-01-25,0.037392240854320406,0.028869676622330566,0.04249588694052995,0.06073578440237322,0.3243113916588895,0.11928163043535984,0.09609857881708726,0.1317549901187364,0.12159210938687175,0.03746771076350109
2021-01-26,0.037434223006833564,0.02889658885652371,0.042530989025253645,0.06067777194594384,0.3239249863559357,0.11934386372579671,0.09619714986660682,0.13179281064164117,0.12169857121548114,0.03750304535998384
