,Ann. Return (%),Ann. Vol (%),Sharpe Ratio,Sortino Ratio,CVaR 95% (%),Max Drawdown (%),Calmar Ratio,Sharpe (Crisis),Sharpe (Steady_State),Sharpe (Inflation),Sharpe (WOI)
CVaR (Regime),1.96,3.67,0.534,0.54,8.09,-12.97,0.151,0.351,1.804,-0.73,0.249
DRO (Regime),1.96,3.67,0.534,0.54,8.09,-12.97,0.151,0.351,1.804,-0.73,0.249
CVaR (Unconditional),1.07,3.67,0.292,0.299,7.89,-13.83,0.077,0.494,0.911,-2.095,0.088
Equal Weight,6.14,6.33,0.969,0.893,15.12,-17.18,0.357,-1.389,6.212,5.312,0.543
Risk Parity,3.65,4.71,0.776,0.713,11.35,-17.1,0.214,-1.084,5.096,3.875,0.3
MVO,1.29,8.93,0.145,0.119,25.85,-24.42,0.053,-1.263,4.074,6.1,-0.024
