,to_state0,to_state1,to_state2,to_state3,to_state4,to_state5
from_state0,0.9082261451928428,0.016833870465934146,1.0099965308395354e-92,4.495444040403464e-06,4.897796824383467e-66,0.07493548889718248
from_state1,0.01729420214894512,0.7979174402082924,9.611984410951922e-55,0.18478835764276172,2.6757590660755406e-37,7.413478979785726e-16
from_state2,2.0366274737493678e-103,1.9599717016273863e-50,0.6170702645989941,7.419464829829883e-23,0.38292973540100583,2.155652100932668e-129
from_state3,0.005708703004093225,0.027993478414532227,7.905186387980987e-14,0.9575990418900946,0.008698776691200887,4.909213275635613e-21
from_state4,2.843447626136045e-85,9.858419016473485e-42,0.10048510966410826,0.028113799660053642,0.8714010906758382,1.4306455247228303e-115
from_state5,0.02082957437034045,6.277435554602378e-23,3.441176102295049e-129,0.006068032625262601,1.6308802899912214e-76,0.9731023930043969
