gamma,strategy,prev_regime_signal,n_months,ann_return,ann_vol,sharpe,tail5_avg_loss,worst_month,best_month,avg_max_weight,avg_effective_n_assets
0.005,DR_CVaR_l1,Crisis,9,0.3020870156153792,0.1935081770062365,1.4658283451506529,0.08605624580495524,-0.08605624580495524,0.09479597548365716,0.21054497119615279,4.979154941572721
0.005,DR_CVaR_l1,Inflation,2,0.0920022532883531,0.048377544894455525,1.8379870287750708,0.002465250000000717,-0.002465250000000717,0.017284799999999538,0.2250000000000084,4.500000000000089
0.005,DR_CVaR_l1,Steady_State,60,0.04031187644334744,0.09667893087236033,0.4575301714243893,0.06459172959994518,-0.07871791961675359,0.054450075286462465,0.2258027195341521,4.672075755523559
0.005,DR_CVaR_l1,WOI,37,0.21648497535860423,0.1509500608274102,1.382660554549355,0.08209885001148243,-0.08442524999999992,0.0768311999999999,0.21541024367490233,4.861464853069702
0.005,RSDR_CVaR_l1,Crisis,9,0.25353252846662166,0.22121801735592841,1.129906997691208,0.09947366666666665,-0.09947366666666665,0.11451006590810661,0.2571251711572196,4.0986289337150446
0.005,RSDR_CVaR_l1,Inflation,2,0.09926451119183222,0.045676695784551115,2.0915042244326774,0.0013626329680808888,-0.0013626329680808888,0.017284800000000045,0.20694384711756042,4.952695342910367
0.005,RSDR_CVaR_l1,Steady_State,60,0.037371677299072426,0.09825072784097601,0.4229154603639483,0.06391128628825415,-0.07871791961675363,0.05752089999635962,0.19685362502680712,5.362112817992042
0.005,RSDR_CVaR_l1,WOI,37,0.21877466092499653,0.15300701711088507,1.3786814719800953,0.082782661230285,-0.08581192246057004,0.07683120000000009,0.19896874978421003,5.172769399013605
0.005,RS_CVaR,Crisis,9,0.3731658584438926,0.1910955648858092,1.763929239192345,0.05843870280270379,-0.05843870280270379,0.12826101929212927,0.6278106803842366,1.9349257639802546
0.005,RS_CVaR,Inflation,2,-0.04455470900161618,0.08454378137530426,-0.516865333273807,0.02089890625264048,-0.02089890625264048,0.01361594796317806,0.5118493629941203,2.498686767599003
0.005,RS_CVaR,Steady_State,60,0.01946047844068466,0.10198993915566605,0.23967526215871257,0.06295350382744827,-0.07044509424357026,0.058204603021215155,0.6294884753696537,2.173853716713631
0.005,RS_CVaR,WOI,37,0.19628507780718096,0.1537506496447874,1.249507324664939,0.09296604805406726,-0.09820407609758694,0.09469641084812526,0.5768538707713665,2.263442012143721
0.005,SAA_CVaR,Crisis,9,0.31720492471789585,0.1994956941068651,1.48854890591757,0.1080326998400499,-0.1080326998400499,0.07727226019828774,0.5257031027392116,2.4913150763311593
0.005,SAA_CVaR,Inflation,2,-0.04455470900161618,0.08454378137530426,-0.516865333273807,0.02089890625264048,-0.02089890625264048,0.01361594796317806,0.5118493629941203,2.498686767599003
0.005,SAA_CVaR,Steady_State,60,0.030888817050706452,0.10204964063078896,0.34924632648141796,0.06942084491292035,-0.07588346080527578,0.06142789381439607,0.5594553679057246,2.2807084500167436
0.005,SAA_CVaR,WOI,37,0.19694357832664622,0.14624899418032306,1.309879103044452,0.08582569747401694,-0.08735668651864655,0.08297520717519348,0.5001324629881492,2.515453470495163
0.02,DR_CVaR_l1,Crisis,9,0.264264542272155,0.25077271086548353,1.0576290766714471,0.121802,-0.121802,0.11606580771768743,0.12356961636228639,8.235374567907542
0.02,DR_CVaR_l1,Inflation,2,0.14431605804285863,0.010860135101750655,12.485695109750402,-0.009082878849514923,0.009082878849514923,0.013516510439011219,0.1369213897028499,7.49887008335847
0.02,DR_CVaR_l1,Steady_State,60,0.007745464495764409,0.10204888297110247,0.12652542120481794,0.0672879489659125,-0.083473625,0.06443652293535665,0.12053914401551176,8.629667500177572
0.02,DR_CVaR_l1,WOI,37,0.22462788048745352,0.16097887048575135,1.3482170604125783,0.08711667361111106,-0.0885471249999999,0.0883051582133827,0.12314601101371521,8.370596668950338
0.02,RSDR_CVaR_l1,Crisis,9,0.28822721764487835,0.24259028013246942,1.1653393526139142,0.121802,-0.121802,0.10750933333333332,0.15321869488536158,6.666666666666667
