strategy,observations,annual_return,annual_volatility,sharpe,var_95_loss,cvar_95_loss,max_drawdown,avg_turnover,max_turnover
RS_CVaR,108,0.102620755340179,0.13198398518741558,0.8082594491450162,0.05508714337465398,0.07220521839886386,-0.15484965757767,0.4438308704336559,1.665434346778495
DR_CVaR_l1,108,0.11931784675586621,0.12777234778665675,0.949827603684265,0.05816642496900321,0.07608221171895206,-0.19131223610277237,0.04673581261655383,0.6465665815320061
RSDR_CVaR_l1,108,0.11488040467517413,0.13237333947447597,0.8910577237927362,0.058900391852229575,0.07905400491901042,-0.2137328437365883,0.22776035310248202,1.0057064371167952
SAA_CVaR,108,0.10583905064090615,0.12927820640122845,0.8459862117742106,0.061229131035581696,0.08132443825447415,-0.1859520076650063,0.07236294953689033,0.979452279975014
SPY_Benchmark,108,0.10440594022558947,0.15225964856648938,0.7307225295937172,0.07564429999999991,0.0925035,-0.23916574077604125,,
Equal_Weight_ETF,108,0.10555338679775539,0.15082303822042648,0.7431906895679881,0.06372543499999998,0.09408538333333333,-0.2325849051238369,,
