gamma,strategy,observations,annual_return,annual_volatility,sharpe,var_95_loss,cvar_95_loss,max_drawdown,avg_turnover,max_turnover
0.005,DR_CVaR_l1,108,0.11931784675586621,0.12777234778665675,0.949827603684265,0.05816642496900321,0.07608221171895206,-0.19131223610277237,0.04673581261655383,0.6465665815320061
0.02,DR_CVaR_l1,108,0.10047918741667017,0.14178599493433164,0.7485978709209413,0.06424251099754137,0.08672115740740738,-0.20330352329775792,0.021244731421940406,0.40393807141284216
0.04,DR_CVaR_l1,108,0.09636797588127499,0.14639120039406334,0.7038402674389205,0.06615802222222221,0.09024545473156224,-0.21688662754900845,0.00861371596612353,0.20000000000000007
0.06,DR_CVaR_l1,108,0.10279532826726756,0.14909278008923746,0.7334385813481592,0.06479529453301916,0.09433519498955022,-0.2325849051238369,0.007073161094690397,0.17662908382815923
0.08,DR_CVaR_l1,108,0.10555338679775517,0.15082303822042642,0.7431906895679882,0.06372543499999997,0.09408538333333331,-0.232584905123837,1.6305115693829412e-15,2.2551405187698492e-14
0.1,DR_CVaR_l1,108,0.10555338679775517,0.15082303822042642,0.7431906895679882,0.06372543499999997,0.09408538333333331,-0.232584905123837,1.6305115693829412e-15,2.2551405187698492e-14
,Equal_Weight_ETF,108,0.10555338679775539,0.15082303822042648,0.7431906895679881,0.06372543499999998,0.09408538333333333,-0.2325849051238369,,
0.005,RSDR_CVaR_l1,108,0.11488040467517413,0.13237333947447597,0.8910577237927362,0.058900391852229575,0.07905400491901042,-0.2137328437365883,0.22776035310248202,1.0057064371167952
0.02,RSDR_CVaR_l1,108,0.09966683810246457,0.1427524902923125,0.7392961420440645,0.06615802222222222,0.08766408649897463,-0.1980057127121595,0.14654586109568765,0.6666666666666685
0.04,RSDR_CVaR_l1,108,0.09994880996541955,0.14809084139638506,0.7198002015531741,0.06550571944444443,0.09318435449014391,-0.23258490512383734,0.0762668294353532,0.5628327554923193
0.06,RSDR_CVaR_l1,108,0.1014370178757884,0.1496256984834339,0.7229618788657507,0.06372543499999998,0.09408538333333329,-0.23258490512383723,0.031111370557757017,0.2000000000000073
0.08,RSDR_CVaR_l1,108,0.10103918039318627,0.14923955481227374,0.7220175337844162,0.06372543500000001,0.0940853833333332,-0.232584905123837,0.024074074074080094,0.20000000000001097
0.1,RSDR_CVaR_l1,108,0.10121264134260866,0.1492640389474124,0.7229874848608764,0.06372543499999997,0.09408538333333323,-0.23258490512383678,0.02037037037037557,0.200000000000001
0.005,RS_CVaR,108,0.102620755340179,0.13198398518741558,0.8082594491450162,0.05508714337465398,0.07220521839886386,-0.15484965757767,0.4438308704336559,1.665434346778495
0.02,RS_CVaR,108,0.102620755340179,0.13198398518741558,0.8082594491450162,0.05508714337465398,0.07220521839886386,-0.15484965757767,0.4438308704336559,1.665434346778495
0.04,RS_CVaR,108,0.102620755340179,0.13198398518741558,0.8082594491450162,0.05508714337465398,0.07220521839886386,-0.15484965757767,0.4438308704336559,1.665434346778495
0.06,RS_CVaR,108,0.102620755340179,0.13198398518741558,0.8082594491450162,0.05508714337465398,0.07220521839886386,-0.15484965757767,0.4438308704336559,1.665434346778495
0.08,RS_CVaR,108,0.102620755340179,0.13198398518741558,0.8082594491450162,0.05508714337465398,0.07220521839886386,-0.15484965757767,0.4438308704336559,1.665434346778495
0.1,RS_CVaR,108,0.102620755340179,0.13198398518741558,0.8082594491450162,0.05508714337465398,0.07220521839886386,-0.15484965757767,0.4438308704336559,1.665434346778495
0.005,SAA_CVaR,108,0.10583905064090615,0.12927820640122845,0.8459862117742106,0.061229131035581696,0.08132443825447415,-0.1859520076650063,0.07236294953689033,0.979452279975014
0.02,SAA_CVaR,108,0.10583905064090615,0.12927820640122845,0.8459862117742106,0.061229131035581696,0.08132443825447415,-0.1859520076650063,0.07236294953689033,0.979452279975014
0.04,SAA_CVaR,108,0.10583905064090615,0.12927820640122845,0.8459862117742106,0.061229131035581696,0.08132443825447415,-0.1859520076650063,0.07236294953689033,0.979452279975014
0.06,SAA_CVaR,108,0.10583905064090615,0.12927820640122845,0.8459862117742106,0.061229131035581696,0.08132443825447415,-0.1859520076650063,0.07236294953689033,0.979452279975014
0.08,SAA_CVaR,108,0.10583905064090615,0.12927820640122845,0.8459862117742106,0.061229131035581696,0.08132443825447415,-0.1859520076650063,0.07236294953689033,0.979452279975014
0.1,SAA_CVaR,108,0.10583905064090615,0.12927820640122845,0.8459862117742106,0.061229131035581696,0.08132443825447415,-0.1859520076650063,0.07236294953689033,0.979452279975014
,SPY_Benchmark,108,0.10440594022558947,0.15225964856648938,0.7307225295937172,0.07564429999999991,0.0925035,-0.23916574077604125,,
