date,state,crisis,p_crisis,p_state0,p_state1,p_state2,p_state3,p_state4,p_state5
1976-03-01,1,0,7.123742413829729e-46,8.862332212745033e-127,1.0,2.223655220505948e-87,4.8128980358720575e-104,6.871001057517199e-42,7.123742413829729e-46
1976-04-01,1,0,0.0008682166305031224,3.6665505502342024e-37,0.9969176827425906,1.457911727667369e-05,5.272892255928245e-22,0.0021995215096296673,0.0008682166305031224
1976-05-01,1,0,0.4052466151830333,0.0010542561856439422,0.5561047370729971,0.021024644560462234,9.381359673114865e-10,0.016569746059725787,0.4052466151830333
1976-06-01,1,0,0.022241509785033874,7.922377797005058e-07,0.974993094882524,0.00010574637098487754,1.3012582909409816e-06,0.0026575554653893276,0.022241509785033874
1976-07-01,1,0,0.0014861874435120393,5.611685434446303e-07,0.9849324636032183,6.654896568188694e-05,1.4586442194799644e-09,0.013514237360402345,0.0014861874435120393
1976-08-01,1,0,0.00023962305183465683,1.8458480731773452e-07,0.9962757915054332,2.88916241944902e-06,1.2506141562465777e-07,0.003481386634086489,0.00023962305183465683
1976-09-01,1,0,0.00018378678301715003,2.605559655042916e-08,0.9986271872663511,1.078730127974639e-06,8.97397274472854e-08,0.001187831425182163,0.00018378678301715003
1976-10-01,1,0,0.00038790588419378364,4.643065042960409e-08,0.9960178838237923,1.2896080593206325e-05,4.853105432961527e-10,0.003581267295457605,0.00038790588419378364
1976-11-01,1,0,0.0005317044189033934,2.7155170388097864e-07,0.9917388007546222,0.00015168635116570735,1.2327918052164582e-13,0.007577536923479521,0.0005317044189033934
1976-12-01,1,0,0.0019258294335253426,1.3809874107675282e-07,0.9956102695762983,1.3116187007953154e-05,1.0781420824075874e-05,0.002439865283599786,0.0019258294335253426
1977-01-01,1,0,0.003253544087095199,7.831262732641204e-06,0.9694016783566659,6.432935655503066e-06,1.3275480972435692e-13,0.027330513357715785,0.003253544087095199
1977-02-01,1,0,0.0005874482284675015,3.3823073622871695e-07,0.9964536768570722,2.9402143241329767e-06,2.4893469293221333e-06,0.002953107122473573,0.0005874482284675015
1977-03-01,1,0,0.0002540463619796757,2.70716164543643e-08,0.9983743614519115,2.3435672436132114e-06,1.4131941851096045e-07,0.0013690802278337123,0.0002540463619796757
1977-04-01,1,0,0.0003693045719275962,1.2925606103280608e-08,0.9984788057665911,1.0804713481499506e-06,7.251126517130545e-08,0.001150723753257194,0.0003693045719275962
1977-05-01,1,0,0.0004949638899848828,4.3555154871332825e-08,0.9976102168508977,9.277534189568267e-07,4.8362336225167716e-08,0.001893799588212197,0.0004949638899848828
1977-06-01,1,0,0.000796349210022818,1.0291507163322595e-08,0.9983679314924816,3.028398642683025e-06,2.7462185867516248e-06,0.0008299343887562476,0.000796349210022818
1977-07-01,1,0,0.0004429907385650701,1.348788565273858e-07,0.9942732088277966,5.366592201498174e-07,3.3790909288204494e-11,0.005283128861769904,0.0004429907385650701
1977-08-01,1,0,0.0005812293115044188,3.710080521719767e-07,0.9943526901134618,1.7597335548570735e-06,3.899229571517796e-08,0.005063910841126846,0.0005812293115044188
1977-09-01,1,0,0.00024695960605272655,2.0138141897859646e-07,0.996227979825099,4.304958840036158e-07,3.840101563883552e-09,0.0035244248514465287,0.00024695960605272655
1977-10-01,1,0,0.0012454778833936014,7.214205197454372e-06,0.9225764891594038,8.441821527990019e-06,4.912222787342866e-12,0.07616237692556685,0.0012454778833936014
1977-11-01,1,0,0.00018575985017242727,7.27040311997583e-07,0.9891603715735684,2.3414684325344467e-06,4.028928291816694e-08,0.01065075977823527,0.00018575985017242727
1977-12-01,1,0,0.00028902275104189236,5.138009326323811e-07,0.9951460407376176,1.6766293206525595e-06,8.20349964001852e-09,0.004562737877588105,0.00028902275104189236
1978-01-01,4,0,0.01067817597595636,0.00010251144018026135,0.5881338527021495,0.0003305300903152796,1.421578331780508e-11,0.4007549297771703,0.01067817597595636
1978-02-01,4,0,0.0003140536665944779,1.418589914503467e-05,0.8831118100283818,9.427944178638753e-07,1.1250361525846601e-06,0.11655788257531197,0.0003140536665944779
1978-03-01,4,0,0.00015828924580497432,3.1610228388438586e-06,0.964999561939481,9.77077513509261e-07,9.223483008621167e-09,0.03483800149087686,0.00015828924580497432
1978-04-01,4,0,0.0275505845303144,0.0001418274946193543,0.8876237356095021,0.0003301295206943793,9.916248803234624e-08,0.08435362368239466,0.0275505845303144
1978-05-01,4,0,0.0006955953462111817,8.363862141692953e-06,0.9540089735551732,1.27148401436488e-06,1.6176005485402115e-07,0.04528563399239861,0.0006955953462111817
1978-06-01,4,0,0.000791946055646991,7.262207010712465e-05,0.758858065877005,5.518860525382556e-06,1.6125718104942634e-11,0.24027184712059885,0.000791946055646991
1978-07-01,4,0,0.0008018097009911944,3.4738011590715656e-05,0.8700079144314687,1.3020100720620655e-05,2.7029068429724628e-08,0.12914249072615366,0.0008018097009911944
1978-08-01,4,0,0.017152184699032607,0.003392372176563878,0.4020323884654323,0.00037636027651523953,8.333235645692632e-10,0.5770466935491396,0.017152184699032607
1978-09-01,4,0,0.0001832430341700524,0.001400439741039429,0.007960118176699078,1.3714171962630218e-06,1.8139373724823466e-13,0.990454827630726,0.0001832430341700524
1978-10-01,4,0,2.897208692945525e-08,0.7512511126434546,3.09076761744012e-13,6.554953455247838e-07,2.74453388050529e-41,0.2487482028887962,2.897208692945525e-08
1978-11-01,4,0,8.621809737836588e-08,0.06519609820120613,0.00048263564504100686,0.00040892882978714966,1.0050779071003031e-16,0.9339122511058675,8.621809737836588e-08
1978-12-01,4,0,6.511437985825859e-07,0.004520494627852309,5.288423895971597e-05,3.782842006113117e-07,4.053790330308823e-20,0.9954255917051954,6.511437985825859e-07
1979-01-01,4,0,1.1308701424001426e-08,0.0008820326074541265,6.906154873380809e-05,2.2120451057088855e-06,2.5382633065319315e-18,0.9990466824899951,1.1308701424001426e-08
1979-02-01,4,0,5.30703869170577e-09,0.0015720701828480666,6.578153461760968e-06,1.8721742401476734e-08,8.405340417982357e-21,0.998421327634897,5.30703869170577e-09
1979-03-01,4,0,9.343501931804172e-10,0.0006518431104029498,0.00011016266901707151,2.759184949084564e-07,5.601314615499531e-20,0.9992377173677214,9.343501931804172e-10
1979-04-01,4,0,4.290572191929306e-09,0.0013601627746709136,2.392040864796757e-05,1.0771200440155958e-08,3.677500400449532e-21,0.9986159017549208,4.290572191929306e-09
1979-05-01,4,0,7.233278301007733e-10,0.006352269493080604,3.123325957323081e-07,6.967334659206455e-07,7.133511777709438e-24,0.9936467207175261,7.233278301007733e-10
1979-06-01,4,0,3.373460861439573e-10,0.0032912524556066463,4.193626256727565e-06,1.2029522098797673e-05,5.1956301635809186e-30,0.9966925240587162,3.373460861439573e-10
1979-07-01,4,0,6.951213152883131e-09,0.0008538304992695585,3.433238416385492e-05,1.0823859153047127e-08,1.5682224697590492e-22,0.9991118193414824,6.951213152883131e-09
1979-08-01,4,0,4.908454983644012e-10,0.001162829275918345,4.370545717541334e-05,1.345437607171798e-09,4.380604589602633e-25,0.9987934634306018,4.908454983644012e-10
1979-09-01,4,0,6.779710556093875e-10,0.002954661717106444,1.5234758761463612e-06,9.219985983492583e-09,1.4723917173087005e-24,0.9970438049090801,6.779710556093875e-10
1979-10-01,0,0,1.2362382305437983e-21,0.9999999996320525,3.531394065640982e-35,2.115358781707224e-10,2.2665572342357413e-98,1.5639675244346518e-10,1.2362382305437983e-21
1979-11-01,0,0,2.3342919847627432e-14,0.8985202622252914,4.765922683953478e-19,0.030192299122724312,1.1527250113554449e-52,0.07128743865196065,2.3342919847627432e-14
1979-12-01,0,0,1.8548838789716964e-05,0.9481761118819969,1.3569772744150361e-10,0.0005731576593553348,1.1050275795084373e-31,0.05123218148417446,1.8548838789716964e-05
1980-01-01,0,0,2.7664272938394453e-06,0.9946918568752174,1.960870105744456e-09,0.0013525612844134524,7.91382597421273e-20,0.003952813452188786,2.7664272938394453e-06
1980-02-01,0,0,1.3721317413433632e-19,0.999999999235115,7.144290545064882e-37,7.648904580632909e-10,9.407540623220878e-105,1.8153058427333392e-14,1.3721317413433632e-19
1980-03-01,0,0,1.608230451375585e-17,0.9976554563658525,2.7746780058625426e-46,0.002344531321684249,1.7384420241658447e-65,1.2312455355328253e-08,1.608230451375585e-17
