config,n_feat,n_PCs,n_rec,Recall_GMM,Recall_HMM,Precision_GMM,Precision_HMM,F1_GMM,F1_HMM
macro+eng,141,62,58,0.603448275862069,0.3793103448275862,0.2046783625730994,0.2972972972972973,0.3056768558951965,0.3333333333333333
comb_all/all,176,76,58,0.39655172413793105,0.4482758620689655,0.41818181818181815,0.3170731707317073,0.40707964601769914,0.37142857142857144
comb_all/bn_meanrank,76,30,58,0.6206896551724138,0.41379310344827586,0.4044943820224719,0.24,0.4897959183673469,0.3037974683544304
altdata_full/all,35,19,58,0.39655172413793105,0.5344827586206896,0.19166666666666668,0.36470588235294116,0.25842696629213485,0.43356643356643354
altdata_full/bn_meanrank,9,7,58,0.27586206896551724,0.39655172413793105,0.35555555555555557,0.26744186046511625,0.3106796116504854,0.3194444444444444
