Date,XLK,XLF,XLE,XLV,XLI,XLY,XLP,XLU,XLRE,XLB,XLC
2002-01-02,9.141915321350098,13.073677062988281,6.813240051269531,18.311426162719727,17.66897964477539,10.787005424499512,13.751569747924805,6.0684814453125,,6.353825569152832,
2002-01-03,9.543264389038086,13.163249015808105,6.7721028327941895,18.39226531982422,17.66260528564453,10.753166198730469,13.70810604095459,6.100498676300049,,6.471599578857422,
2002-01-04,9.602725982666016,13.337430953979492,6.802960395812988,18.607852935791016,17.66897964477539,10.929877281188965,13.67006778717041,6.072751045227051,,6.595262050628662,
2002-01-07,9.49867057800293,13.302600860595703,6.800384521484375,18.628061294555664,17.54778289794922,10.86595344543457,13.566837310791016,6.0791497230529785,,6.595262050628662,
2002-01-08,9.569276809692383,13.118463516235352,6.741250991821289,18.729124069213867,17.49675178527832,10.903556823730469,13.49620532989502,6.004443645477295,,6.483377456665039,
2002-01-09,9.494956016540527,13.188131332397461,6.748962879180908,18.628061294555664,17.40106201171875,10.753166198730469,13.5451021194458,5.951078414916992,,6.445098876953125,
2002-01-10,9.416912078857422,13.138371467590332,6.697543621063232,18.68195915222168,17.222471237182617,10.828361511230469,13.566837310791016,5.99804162979126,,6.333213806152344,
2002-01-11,9.327722549438477,13.063714981079102,6.568994045257568,18.560688018798828,16.94180679321289,10.625329971313477,13.599448204040527,5.940410137176514,,6.256662845611572,
2002-01-14,9.18278980255127,12.96418571472168,6.489288330078125,18.42595100402832,16.750450134277344,10.546370506286621,13.70810604095459,5.995905876159668,,6.050563812255859,
2002-01-15,9.242255210876465,13.247855186462402,6.594703674316406,18.655010223388672,16.769573211669922,10.614048957824707,13.724395751953125,5.99804162979126,,6.080005645751953,
2002-01-16,9.01556396484375,13.083627700805664,6.458438396453857,18.196889877319336,16.201875686645508,10.433575630187988,13.59400749206543,5.972426414489746,,5.935735702514648,
2002-01-17,9.238533973693848,13.208044052124023,6.455865383148193,18.311426162719727,16.265661239624023,10.557652473449707,13.718965530395508,5.912660121917725,,5.962233543395996,
2002-01-18,8.930086135864258,13.158275604248047,6.4018778800964355,18.16993522644043,16.38048553466797,10.527575492858887,13.664643287658691,5.901988506317139,,5.909235954284668,
2002-01-22,8.610491752624512,13.113482475280762,6.355597496032715,18.122779846191406,16.47615623474121,10.59525203704834,13.816773414611816,5.7739152908325195,,5.953400135040283,
2002-01-23,8.740557670593262,13.173208236694336,6.53557014465332,18.055419921875,16.393238067626953,10.82459831237793,13.865665435791016,5.859297275543213,,6.050563812255859,
2002-01-24,8.870627403259277,13.188131332397461,6.625553607940674,18.2036190032959,16.539945602416992,10.828361511230469,13.664643287658691,5.8464884757995605,,6.174221992492676,
2002-01-25,8.837179183959961,13.272734642028809,6.697543621063232,18.223825454711914,16.769573211669922,10.715563774108887,13.637466430664062,5.810204029083252,,6.356771945953369,
2002-01-28,8.900359153747559,13.138371467590332,6.594703674316406,18.257516860961914,16.756818771362305,10.899796485900879,13.637466430664062,5.810204029083252,,6.350884914398193,
2002-01-29,8.584476470947266,12.566048622131348,6.414730548858643,17.9139347076416,16.118967056274414,10.670443534851074,13.46904468536377,5.735494613647461,,6.268438816070557,
2002-01-30,8.695966720581055,12.725309371948242,6.466148853302002,17.839820861816406,16.297563552856445,10.94115161895752,13.632040977478027,5.729087829589844,,6.31849479675293,
2002-01-31,8.82231616973877,12.939299583435059,6.620413780212402,18.021724700927734,16.552705764770508,11.106592178344727,13.70810604095459,5.76751184463501,,6.4539337158203125,
2002-02-01,8.65880298614502,12.780046463012695,6.656403541564941,17.988039016723633,16.42513656616211,10.993793487548828,13.718965530395508,5.780319690704346,,6.4244914054870605,
2002-02-04,8.413534164428711,12.317214965820312,6.479006290435791,17.644445419311523,15.697957992553711,10.80955696105957,13.572270393371582,5.720551490783691,,6.365607261657715,
2002-02-05,8.283468246459961,12.317214965820312,6.435299396514893,17.73876953125,15.48109245300293,10.798284530639648,13.729838371276855,5.643710613250732,,6.283163547515869,
2002-02-06,8.23515510559082,12.143040657043457,6.479006290435791,17.644445419311523,15.595904350280762,10.711806297302246,13.664643287658691,5.530579090118408,,6.300832748413086,
2002-02-07,8.11251449584961,12.257498741149902,6.404446125030518,17.988039016723633,15.780885696411133,10.583971977233887,13.517934799194336,5.609553813934326,,6.286112308502197,
2002-02-08,8.268600463867188,12.580981254577637,6.476435661315918,18.358579635620117,15.87656307220459,10.677967071533203,13.550535202026367,5.639435291290283,,6.412713527679443,
2002-02-11,8.454410552978516,12.690468788146973,6.561280727386475,18.527000427246094,16.221017837524414,10.997547149658203,13.76786994934082,5.677861213684082,,6.586427688598633,
2002-02-12,8.316910743713379,12.54614543914795,6.530427932739258,18.358579635620117,16.080684661865234,10.903556823730469,13.76243782043457,5.677861213684082,,6.542263984680176,
2002-02-13,8.45069408416748,12.799955368041992,6.568994045257568,18.661746978759766,16.25290298461914,11.065226554870605,13.849370002746582,5.712014198303223,,6.6129279136657715,
2002-02-14,8.361501693725586,12.775071144104004,6.62298583984375,18.715633392333984,16.310314178466797,11.106592178344727,13.849370002746582,5.724820613861084,,6.598203659057617,
2002-02-15,8.119950294494629,12.576004028320312,6.628125190734863,18.42595100402832,16.19550323486328,10.978748321533203,13.85479736328125,5.71414852142334,,6.624704360961914,
2002-02-19,7.833799362182617,12.23261547088623,6.568994045257568,18.122779846191406,16.150854110717773,10.850916862487793,13.680937767028809,5.615959167480469,,6.498098850250244,
2002-02-20,7.930426597595215,12.46154499053955,6.548422336578369,18.560688018798828,16.386863708496094,11.065226554870605,13.95803165435791,5.686398983001709,,6.592315196990967,
2002-02-21,7.562516212463379,12.317214965820312,6.625553607940674,18.42595100402832,16.323074340820312,10.959957122802734,13.784164428710938,5.573270320892334,,6.654146194458008,
2002-02-22,7.610827445983887,12.242572784423828,6.808098316192627,18.594371795654297,16.482534408569336,10.974991798400879,14.012365341186523,5.650113105773926,,6.713035583496094,
2002-02-25,7.867249011993408,12.556097030639648,6.90579891204834,18.917760848999023,16.916290283203125,11.159228324890137,14.034099578857422,5.71414852142334,,6.748366832733154,
2002-02-26,7.818933963775635,12.54614543914795,6.869805335998535,18.863866806030273,16.980079650878906,11.279540061950684,14.028668403625488,5.70774507522583,,6.760144233703613,
2002-02-27,7.763193130493164,12.675544738769531,6.8646626472473145,18.796493530273438,17.184200286865234,11.260747909545898,14.044966697692871,5.7461676597595215,,6.798418998718262,
2002-02-28,7.6740031242370605,12.715351104736328,6.846662521362305,18.850399017333984,16.967315673828125,11.166743278503418,13.996070861816406,5.756840229034424,,6.795473575592041,
2002-03-01,8.060490608215332,12.889532089233398,6.944364547729492,19.207454681396484,17.3627986907959,11.27202320098877,14.26229190826416,5.88064432144165,,6.8955817222595215,
2002-03-04,8.354070663452148,13.327474594116211,7.0960540771484375,19.4028263092041,17.956018447875977,11.44121265411377,14.267725944519043,5.951078414916992,,7.084017276763916,
2002-03-05,8.380088806152344,13.337430953979492,7.098626136779785,19.375883102416992,17.732763290405273,11.106592178344727,14.017799377441406,5.955347537994385,,6.880858898162842,
2002-03-06,8.461848258972168,13.561383247375488,7.234890460968018,19.645370483398438,18.268579483032227,11.260747909545898,14.131898880004883,6.072751045227051,,7.007467269897461,
2002-03-07,8.432113647460938,13.441947937011719,7.288882732391357,19.49714469909668,18.051706314086914,11.347220420837402,14.126458168029785,6.036462306976318,,6.960352420806885,
2002-03-08,8.655088424682617,13.501664161682129,7.255458354949951,19.699254989624023,18.172897338867188,11.411130905151367,14.077559471130371,6.019385814666748,,6.930911064147949,
2002-03-11,8.681106567382812,13.581290245056152,7.3325886726379395,19.604948043823242,18.211162567138672,11.358499526977539,14.077559471130371,6.038599014282227,,6.922080993652344,
2002-03-12,8.495290756225586,13.58626651763916,7.3968658447265625,19.537567138671875,18.172897338867188,11.38105583190918,14.07213020324707,5.976696014404297,,6.933858394622803,
2002-03-13,8.272315979003906,13.461854934692383,7.348015308380127,19.470203399658203,17.92412567138672,11.354737281799316,14.180793762207031,5.976696014404297,,6.845528602600098,
2002-03-14,8.17569637298584,13.496691703796387,7.3454484939575195,19.604948043823242,17.943260192871094,11.354737281799316,14.142765045166016,5.955347537994385,,6.9397501945495605,
2002-03-15,8.23515510559082,13.781301498413086,7.398585319519043,19.964191436767578,17.957338333129883,11.500804901123047,14.401590347290039,6.005702495574951,,7.004444599151611,
2002-03-18,8.2611665725708,13.751340866088867,7.455341815948486,20.139429092407227,17.886960983276367,11.504570960998535,14.357996940612793,6.033677101135254,,7.031034469604492,
2002-03-19,8.294612884521484,13.746346473693848,7.54563045501709,20.119216918945312,18.078882217407227,11.553511619567871,14.412484169006348,6.061648845672607,,7.096024990081787,
2002-03-20,8.041908264160156,13.531637191772461,7.465656280517578,20.125946044921875,17.880565643310547,11.508330345153809,14.12913990020752,6.0250701904296875,,7.063528060913086,
2002-03-21,8.201708793640137,13.536633491516113,7.5069355964660645,19.997894287109375,17.52231788635254,11.365277290344238,14.238116264343262,6.089625835418701,,6.948312282562256,
2002-03-22,8.082791328430176,13.531637191772461,7.331514835357666,19.890047073364258,17.419967651367188,11.312572479248047,14.254471778869629,6.018613815307617,,6.892183303833008,
2002-03-25,7.900693416595459,13.316926002502441,7.2644429206848145,19.593482971191406,17.144878387451172,11.105525970458984,14.112794876098633,6.027222633361816,,6.803553104400635,
2002-03-26,7.9601545333862305,13.481709480285645,7.323775768280029,19.478904724121094,17.25362777709961,11.256105422973633,14.22177791595459,5.994943618774414,,6.930588722229004,
2002-03-27,7.956435680389404,13.656469345092773,7.4940385818481445,19.768726348876953,17.368772506713867,11.331398010253906,14.178183555603027,6.010006427764893,,7.075345516204834,
2002-03-28,8.053058624267578,13.55660343170166,7.45275354385376,19.943965911865234,17.426355361938477,11.30881118774414,14.22177791595459,6.063801288604736,,7.004444599151611,
2002-04-01,8.14224910736084,13.531637191772461,7.504354953765869,19.761980056762695,17.419967651367188,11.097993850708008,14.194522857666016,6.001399993896484,,6.966038227081299,
2002-04-02,7.9044108390808105,13.581568717956543,7.597226142883301,19.64739990234375,17.25362777709961,10.898468971252441,14.096449851989746,6.035825729370117,,6.936496734619141,
2002-04-03,7.78177547454834,13.381847381591797,7.432122230529785,19.39128875732422,17.016931533813477,10.81564998626709,14.107344627380371,6.035825729370117,,6.839005470275879,
2002-04-04,7.815218448638916,13.501684188842773,7.29797887802124,19.667633056640625,17.151275634765625,10.962468147277832,13.943868637084961,6.044436454772949,,6.7533369064331055,
2002-04-05,7.6925883293151855,13.5665864944458,7.21542501449585,19.903528213500977,17.228042602539062,11.030233383178711,13.829449653625488,6.0121588706970215,,6.844916820526123,
2002-04-08,7.655424118041992,13.606536865234375,7.326358795166016,19.984407424926758,17.36237907409668,11.195873260498047,13.873052597045898,5.969121932983398,,6.8744587898254395,
2002-04-09,7.462181568145752,13.691425323486328,7.2205891609191895,20.011375427246094,17.349586486816406,11.274931907653809,13.862143516540527,5.842165946960449,,6.868550777435303,
2002-04-10,7.484477519989014,13.741354942321777,7.303136348724365,20.193357467651367,17.752622604370117,11.406688690185547,14.091002464294434,5.96481990814209,,7.0162577629089355,
2002-04-11,7.235485553741455,13.401812553405762,7.228326320648193,19.856351852416992,17.18325424194336,11.233522415161133,13.900287628173828,5.7862162590026855,,6.936496734619141,
2002-04-12,7.35812520980835,13.571582794189453,6.990996360778809,19.923744201660156,17.157663345336914,11.463154792785645,13.976571083068848,5.824951648712158,,6.901045799255371,
2002-04-15,7.376704216003418,13.396821975708008,7.127717018127441,19.9102725982666,16.978544235229492,11.289986610412598,13.96567153930664,5.734574317932129,,6.8833184242248535,
2002-04-16,7.7111687660217285,13.671453475952148,7.261861324310303,20.045074462890625,17.279220581054688,11.45562744140625,14.112794876098633,5.874441623687744,,7.004444599151611,
2002-04-17,7.7408952713012695,13.706398010253906,7.35215425491333,20.092260360717773,17.157663345336914,11.338926315307617,13.905738830566406,5.904568672180176,,7.036940574645996,
2002-04-18,7.659138202667236,13.706398010253906,7.388266563415527,20.301198959350586,17.029726028442383,11.263632774353027,14.047410011291504,5.889505386352539,,6.9601287841796875,
2002-04-19,7.636844158172607,13.68143081665039,7.421802043914795,20.46295928955078,16.933761596679688,11.312572479248047,14.0746488571167,5.83786153793335,,6.971945285797119,
2002-04-22,7.447318077087402,13.49669361114502,7.349574089050293,20.368595123291016,16.665081024169922,11.203400611877441,13.992916107177734,5.749638557434082,,6.7976508140563965,
2002-04-23,7.29494571685791,13.431777954101562,7.331514835357666,20.220312118530273,16.63308334350586,11.2222261428833,13.878494262695312,5.777613162994385,,6.714929103851318,
2002-04-24,7.183464527130127,13.346895217895508,7.199948787689209,20.355121612548828,16.492345809936523,11.124344825744629,13.818547248840332,5.792675495147705,,6.673574924468994,
2002-04-25,7.231770038604736,13.22205638885498,7.251543045043945,20.415782928466797,16.294025421142578,11.154461860656738,13.862143516540527,5.753941059112549,,6.658799648284912,
2002-04-26,6.986503601074219,13.172130584716797,7.171571731567383,20.085512161254883,16.127700805664062,11.086697578430176,13.774959564208984,5.661411762237549,,6.679481029510498,
2002-04-29,6.9419074058532715,13.057281494140625,7.1251373291015625,19.62718963623047,15.775837898254395,10.966231346130371,13.633286476135254,5.577493190765381,,6.567220211029053,
2002-04-30,7.07940673828125,13.212068557739258,7.18447208404541,19.822647094726562,16.22365379333496,10.992582321166992,13.693224906921387,5.695844650268555,,6.673574924468994,
2002-05-01,7.019947528839111,13.30195426940918,7.228326320648193,20.17987632751465,16.27484130859375,11.052818298339844,13.889385223388672,5.749638557434082,,6.682431697845459,
2002-05-02,6.841567039489746,13.431777954101562,7.282500267028809,20.112468719482422,16.332414627075195,11.154461860656738,13.889385223388672,5.713054180145264,,6.8271894454956055,
2002-05-03,6.678055286407471,13.366866111755371,7.308298110961914,19.984407424926758,16.33881378173828,11.003873825073242,13.758612632751465,5.6807780265808105,,6.8715057373046875,
2002-05-06,6.488525390625,13.057281494140625,7.0580668449401855,19.606969833374023,15.87819766998291,10.804359436035156,13.66053581237793,5.650651454925537,,6.830142498016357,
2002-05-07,6.488525390625,12.997363090515137,7.024531364440918,19.64739990234375,15.890993118286133,10.962468147277832,13.469819068908691,5.594707012176514,,6.8833184242248535,
2002-05-08,7.161163806915283,13.381847381591797,7.171571731567383,20.085512161254883,16.54991912841797,11.124344825744629,13.715018272399902,5.674324989318848,,6.957176208496094,
2002-05-09,6.927040100097656,13.22205638885498,7.107079029083252,19.856351852416992,16.26844024658203,10.954938888549805,13.57335376739502,5.626982688903809,,6.963087558746338,
2002-05-10,6.689202785491943,13.052287101745605,7.101922035217285,19.593482971191406,16.02533721923828,10.774234771728516,13.546102523803711,5.497878074645996,,6.939450263977051,
2002-05-13,6.953058242797852,13.286965370178223,7.238645553588867,19.822647094726562,16.127700805664062,10.89094352722168,13.682324409484863,5.564582347869873,,6.9896697998046875,
2002-05-14,7.287517070770264,13.491687774658203,7.259280204772949,20.17987632751465,16.485929489135742,11.278697967529297,13.736817359924316,5.648501873016357,,7.096024990081787,
2002-05-15,7.2652177810668945,13.426778793334961,7.138037204742432,20.355121612548828,16.54991912841797,11.210930824279785,13.535205841064453,5.618376731872559,,7.113748073577881,
