date,state,p_state0,p_state1,p_state2,p_state3,p_state4,p_state5
1976-03-01,3,8.195500605818603e-108,7.098297846975037e-48,1.2186356644121678e-159,1.0,6.433623489842795e-75,3.3694619259158886e-82
1976-04-01,3,2.8638305655584372e-05,0.0007021333675136602,3.51904323475195e-18,0.9991111307600902,0.00015809756674083845,1.6512212414642852e-24
1976-05-01,3,0.003353178490901997,0.023163161144510128,2.746822908060075e-07,0.9529491187796295,0.020534266902529047,1.3841277316511355e-13
1976-06-01,3,9.56169432428448e-05,0.0021012623415477437,3.06598449320819e-08,0.9975070931170837,0.0002959396003656777,5.7337916702567554e-08
1976-07-01,3,0.0003668477691469458,0.006311254694970399,2.5797878566547957e-08,0.9932050087712231,0.0001168621558282207,8.109512561581338e-10
1976-08-01,3,3.762905316812535e-05,0.0005545596765650639,4.130208300138401e-10,0.9993295562753307,7.823359549026198e-05,2.0986425215433996e-08
1976-09-01,3,0.0002717600126323564,0.003498735053498771,1.3818465277236753e-09,0.9961697459461795,5.973852081664916e-05,1.9085024271668536e-08
1976-10-01,3,8.803164501234243e-05,0.0009767989419995364,3.725814251602755e-10,0.9988541270961903,8.103769504264078e-05,4.249174905259093e-09
1976-11-01,3,0.0002350220862476134,0.0041455312976944585,9.045456039389703e-10,0.9949417637045976,0.0006776820069062322,8.01859111698682e-15
1976-12-01,3,2.7766260198564668e-05,0.0012442296658307366,6.654940419868403e-10,0.9984171274948083,0.0003108716896172673,4.224057555641663e-09
1977-01-01,3,0.001013120663330314,0.0029826207123962003,1.685464414863893e-07,0.9953014020220844,0.0007026880557439069,3.882853796869108e-15
1977-02-01,3,6.549928608140203e-05,0.0004107919979338189,9.24239734013952e-10,0.9994896025095112,3.22936659684654e-05,1.8116162623752492e-06
1977-03-01,3,5.612902794956505e-05,0.0012192158710067054,8.050067272680989e-11,0.9986477972270571,7.685419912782807e-05,3.5943600024902988e-09
1977-04-01,3,3.248577410489224e-05,0.0007736028790892291,1.5501856639445233e-10,0.9990809903079735,0.00011291963234788076,1.2514705468573829e-09
1977-05-01,3,0.00018698819711462512,0.0007247522602562336,1.1875796739914617e-09,0.9989816947384333,0.00010655909655858435,4.520050847576454e-09
1977-06-01,3,8.236141882034869e-05,0.001006995936695783,1.6645282299554738e-10,0.9988589875743964,5.158544846653558e-05,6.945516738626713e-08
1977-07-01,3,0.0281713565892817,0.09883319167740907,9.578529014296867e-08,0.8728603345827164,0.00013502073870707985,6.265908451869645e-10
1977-08-01,3,0.00017968253933835977,0.0019698160141784385,1.2242988735970581e-09,0.9977237041313055,0.00012570154011397127,1.0945507676707528e-06
1977-09-01,3,2.9112923340815504e-05,0.00048365303983829245,1.4235368447714024e-09,0.9991144634179894,0.00037276908996271545,1.0533880968959893e-10
1977-10-01,3,5.280927103426616e-05,0.0012385049172818378,7.54969161521015e-08,0.9981541015284076,0.0005545087856518022,6.970811897332086e-13
1977-11-01,3,8.80650803282679e-06,0.0006145668964904362,2.473387971597489e-09,0.9988105931432792,0.0005660309361921435,4.2616539783597645e-11
1977-12-01,3,9.279466973806739e-06,0.0004644263932685171,7.245479501700224e-09,0.9989558874891896,0.0005703993894843277,1.56163041062346e-11
1978-01-01,3,0.00017285706025973113,0.004721381946523344,4.4109781984391965e-07,0.9945597530473343,0.000545566846145267,1.927424982692156e-12
1978-02-01,3,1.2721251454171749e-05,0.00036438316284212696,3.755787416434421e-09,0.999486541739155,0.0001363458596251202,4.23114924958905e-09
1978-03-01,3,2.908694610788489e-05,0.004464734837204148,9.148598266255479e-09,0.9907624565822455,0.004743712485519479,3.26057744799564e-13
1978-04-01,3,0.00012258648988338936,0.01785596186090039,1.154736234501803e-05,0.8924930279580824,0.08951687632869611,7.856681293249012e-14
1978-05-01,3,1.2452702882443306e-05,0.001262779889271957,5.076148256815467e-06,0.9587133645094091,0.0400063267490159,1.1724540095223354e-12
1978-06-01,3,0.0006282143565937088,0.01767431204264684,0.0001055058534096929,0.9801756406503627,0.001416327067935208,2.9062941952693033e-11
1978-07-01,3,1.754025219197495e-05,0.0027084803174273597,2.2799072195882384e-07,0.9923420062373022,0.004931745179127402,2.3223851071376935e-11
1978-08-01,4,0.00012661894664602435,0.0202166166028602,7.304757234212682e-05,0.32689473767975497,0.6526889791984071,1.5367462117629007e-17
1978-09-01,4,4.643847777898875e-07,0.00016161344858236926,0.0010314388432958834,0.013848061159902168,0.9849584221634295,1.9843720343582914e-19
1978-10-01,2,1.5290895419884468e-06,5.437749597441637e-05,0.9678153168791229,7.721649040477377e-07,0.03212800437045365,6.318242692913151e-37
1978-11-01,4,1.684531484446263e-08,3.235216765354178e-05,0.02636714740108465,0.0009436788416134886,0.9726568047443312,2.8859668895703564e-15
1978-12-01,4,1.015018520536359e-09,5.36205847558627e-07,0.007867670178748783,0.0021587694143477766,0.9899730231860375,2.0256007555798e-21
1979-01-01,4,7.728723581575342e-11,1.2752049826055726e-07,0.00038051257778018747,2.231842850294283e-05,0.9995970413959304,1.261506867539683e-26
