,state,crisis,p_crisis,p_state0,p_state1,p_state2,p_state3,p_state4,p_state5
2004-01-01,0,0,0.0059785330453820005,0.9897013839539103,0.0059785330453820005,8.457442713699279e-05,7.804255852820594e-07,0.0032860316787581656,0.0009486964692266383
2004-02-01,5,0,0.0034251279301138805,7.312391309435667e-05,0.0034251279301138805,0.08849287929002396,0.015820619300449444,0.00022387006637867739,0.8919643794999403
2004-03-01,2,0,0.0012197270289593773,0.0012197270289593773,0.05251734082652283,0.8629380952912948,3.197994806710195e-05,0.08313417830124431,0.0001586786039107727
2004-04-01,0,1,0.5326583888190317,0.5326583888190317,0.018915737715904785,1.6981058254550047e-06,1.415061443233716e-10,0.02402892508025005,0.4243952501374825
2004-05-01,2,0,0.0011145975531280034,0.36129327816788814,0.0011145975531280034,0.6361128033344743,2.8189465471982448e-05,0.001404029314918089,4.7102164119756194e-05
2004-06-01,5,0,0.007349744625876783,0.03481839106326493,0.01883327968016586,0.24516705121452734,2.8097557914921202e-06,0.007349744625876783,0.6938287236603738
2004-07-01,3,0,0.011225539305038917,0.009286981548571181,0.003728262067915478,0.4465429094565604,0.5085520809411619,0.02066422668075288,0.011225539305038917
2004-08-01,0,0,0.0015356287607790813,0.960911163267669,0.020470188831077728,3.074599348221609e-07,0.0,0.0015356287607790813,0.01708271168053878
2004-09-01,5,0,0.004567573452064356,0.26250837390848547,0.00013915539763676574,3.364717524346028e-06,0.0,0.004567573452064356,0.7327815325242899
2004-10-01,4,0,0.0013499970044757099,0.0013499970044757099,0.08933379083742503,1.4926450288528256e-08,0.0,0.9088676336187247,0.0004485636129237975
2004-11-01,3,0,0.0037325585532473706,0.013510720780664277,0.3734276177400352,0.0002711045231427803,0.6017007651571267,0.0037325585532473706,0.00735723324578385
2004-12-01,2,0,0.0023695103358359827,0.0,0.013993990110370733,0.9824538220879604,0.0011816479469203812,1.0295189130619574e-06,0.0023695103358359827
2005-01-01,2,0,0.0012251071015013544,0.0012251071015013544,2.683598822279007e-05,0.583247127029097,0.008514189356466287,0.40691454872461985,7.219180009346639e-05
2005-02-01,0,0,0.00010331182975730353,0.9918640640132979,0.00010331182975730353,0.003555562334444777,0.0042285286661731,9.357956605388259e-05,0.0001549535902734142
2005-03-01,2,0,0.00222231769130875,0.4725206470740455,3.1396987337007503e-05,0.5233491383979106,1.209326651750129e-05,0.00222231769130875,0.001864406582880909
2005-04-01,4,0,0.007151504258288402,0.007151504258288402,0.000690790460095176,0.004816374347695437,0.0,0.9873413024032269,2.8530694154042792e-08
2005-05-01,4,0,0.00034212996162169145,0.0677715196072072,0.00034212996162169145,0.000175941784503055,0.0872058199841966,0.8404245838966604,0.0040800047658109415
2005-06-01,4,0,0.0011267466233747306,6.064667664060684e-07,0.4418852524090055,0.003247042275175502,0.0011267466233747306,0.5537403522256782,0.0
2005-07-01,1,0,0.0003630580268529494,8.07621813164262e-06,0.8918310830662769,0.09729917289665617,0.0003630580268529494,0.0034906115822522475,0.007007998209830837
2005-08-01,0,0,0.027695833038589416,0.8517223244806754,0.12057603424705148,5.804806528650628e-06,0.027695833038589416,0.0,3.427155796770134e-09
2005-09-01,2,0,0.0008567972143623917,5.33769205216951e-05,2.4514066574711873e-06,0.9669005718926006,0.0321769128755411,0.0008567972143623917,9.889690317162421e-06
2005-10-01,0,0,0.02527979819041279,0.48128727467059396,0.4642030842438083,0.00789822590024985,0.021212819484066708,0.02527979819041279,0.0001187975108680504
2005-11-01,1,0,0.0005156124140360274,0.07440443339987546,0.8757520622834303,0.0005156124140360274,0.0,3.5215948859372285e-09,0.049327888381063716
2005-12-01,0,0,0.0007665854780104237,0.5767383532260871,1.4085877927223346e-05,0.0,0.4223969016140901,0.0007665854780104237,8.407380388536349e-05
2006-01-01,1,0,0.004490422767352622,0.00021263552934497592,0.8398203531465687,0.1554404519171401,3.6136639593870936e-05,0.0,0.004490422767352622
2006-02-01,2,0,0.0036598336593878706,0.000989493367456732,0.0036598336593878706,0.8330930366062007,0.12765464220466283,0.033808717267837074,0.0007942768944555795
2006-03-01,1,0,0.0002100249394393329,0.00019753965686118667,0.8977416006399315,0.0393810571366883,0.0002100249394393329,0.0013122752444803363,0.06115750238259919
2006-04-01,1,0,0.00032935502202945376,0.35814653972507804,0.6318010574976295,0.0003306990653525065,0.008534328490234538,0.00032935502202945376,0.0008580201996762141
2006-05-01,2,0,0.00040119684110479344,0.19980352375459415,4.558842361233078e-05,0.7957806004243038,0.0005927337211654859,0.0033763568352187354,0.00040119684110479344
2006-06-01,2,0,0.0003684255374153605,0.0007734042708566736,4.0104391824296094e-07,0.8554222324665915,0.14339392967079595,0.0003684255374153605,4.1607010421849524e-05
2006-07-01,2,0,0.0021224666030586186,0.00022439360082770026,0.0005379421998223481,0.6817822327614438,0.3149367139616962,0.0021224666030586186,0.00039625087315127563
2006-08-01,2,0,0.0005744528361031889,0.00013524745546760272,0.0005744528361031889,0.990106709661222,0.0023060899658466833,4.839602362089896e-05,0.006829104057740469
2006-09-01,2,0,0.0015889924133387957,0.42644263626184115,0.0010289947822519324,0.5706303556892292,0.0,0.0003090208533388628,0.0015889924133387957
2006-10-01,1,0,0.0009723069094057049,0.00017192122705747645,0.6354050487654075,0.36343416907031073,1.6554027818930564e-05,0.0,0.0009723069094057049
2006-11-01,2,0,0.0010761319866826333,0.00035264994046487825,0.4515746388132531,0.5469965608587994,0.0010761319866826333,0.0,1.840080049552063e-08
2006-12-01,2,0,0.010137453116768775,0.03393188050676863,0.0008931869337539398,0.9549212080622536,0.010137453116768775,0.00011627138045533137,0.0
2007-01-01,3,0,0.00039077290711479594,6.0169610212979e-05,0.00039077290711479594,0.47676665110203403,0.5227723312806429,0.0,1.0075099995241138e-05
2007-02-01,1,0,7.693808309721042e-05,7.693808309721042e-05,0.9838912465224527,0.014045535918254063,0.00013582466082856295,0.0005276820867418542,0.0013227727286253036
2007-03-01,3,0,0.0004972136850113157,0.00232799248023567,0.0004972136850113157,0.00020179322640804492,0.9969729992895588,3.9678910609296364e-45,1.3187860309121017e-09
2007-04-01,2,0,0.0014000935431017145,0.0014000935431017145,0.11002136769783843,0.6631515653027926,0.00015453778937845675,0.22522472089026552,4.771477662318215e-05
2007-05-01,2,0,0.0011712036370540465,0.02459250411380354,0.2711421951873206,0.6870990066152092,0.0003999348446740836,0.0011712036370540465,0.015595155601937895
2007-06-01,2,0,0.0004800678652446855,0.09176801327782491,2.1076217822907812e-05,0.9073064169030639,0.0003231850727899433,0.00010124066325389408,0.0004800678652446855
2007-07-01,2,0,0.027435364960458758,0.027435364960458758,1.3668918496631866e-05,0.8582008336586968,0.029294392206432325,0.0841138621391818,0.0009418781167328813
2007-08-01,5,1,0.9700380082111641,0.002565191289622671,0.0003370243485497243,7.188623901936873e-07,0.01825369438814403,0.008805362900128571,0.9700380082111641
2007-09-01,0,0,0.07847999122346659,0.760795634841818,0.1607168946474704,1.6245312998663864e-07,0.07847999122346659,7.316834114852958e-06,0.0
2007-10-01,1,0,0.000210517973442251,0.05932204974088159,0.9189349363858099,0.02152048141431699,1.201448554912343e-05,0.0,0.000210517973442251
2007-11-01,1,0,0.14303740915811147,0.0035806841449347003,0.8113097011546502,0.14303740915811147,7.584630599838717e-07,0.009413212249538954,0.0326582348297049
2007-12-01,1,1,0.6445859294931726,0.0006903595863183576,0.6445859294931726,2.0691805291785602e-17,0.3267270138768895,0.02587848046238857,0.002118216581231047
2008-01-01,5,1,0.9939351568869259,0.00048181677371464203,9.924296394166003e-09,6.597691872651535e-15,0.005583016414881724,1.737900771961799e-13,0.9939351568869259
2008-02-01,0,0,0.2870193964365287,0.681224402903003,0.2870193964365287,2.8570329059632287e-08,0.0002758463725578817,0.03148032571758187,0.0
2008-03-01,0,0,0.006296680959862334,0.9320016896102128,0.042704894994899704,0.003023002794410595,0.015973731640614,0.006296680959862334,0.0
2008-04-01,0,0,0.09106842646051358,0.5302922074074484,0.3104695193761641,0.01130158419518795,6.292244706282477e-05,0.05680534011362324,0.09106842646051358
2008-05-01,0,0,0.002628632285629174,0.5084547284276714,5.968802927741335e-05,0.48852824178390425,0.0,0.00032870947351851455,0.002628632285629174
2008-06-01,1,0,0.3918254141545399,0.16245875511362126,0.4394604169643999,0.0014692915211848678,0.0,0.004786122246255741,0.3918254141545399
2008-07-01,5,0,0.2833723567121946,1.680777557230078e-12,0.08474724316558244,0.007895866293892113,3.499842089957586e-06,0.2833723567121946,0.6239810339845587
2008-08-01,1,0,0.01922143107872359,0.01922143107872359,0.8690354294275495,0.0872828837536419,0.022731075201804625,6.523894183005718e-16,0.0017291805382791587
2008-09-01,0,1,0.9957023554204403,0.9957023554204403,8.982981774000576e-07,0.0009276779009040524,0.0033677177977120267,1.3505827665944395e-06,0.0
2008-10-01,1,0,0.2561273919692807,1.3408293117845405e-07,0.5767563548776262,0.16711611461004108,4.4601192352193634e-09,3.1728655347971423e-32,0.2561273919692807
2008-11-01,3,0,0.2530760657370654,0.2530760657370654,0.13951491067530858,0.00010274078390620039,0.607270922484749,0.0,3.5360318971633916e-05
2008-12-01,0,0,0.0173341354091362,0.4830270567636,0.0173341354091362,0.043439030117121025,0.27955105791853413,0.16829818505847974,0.008350534733129166
2009-01-01,0,1,0.8064217166376171,0.8064217166376171,0.003450205795744929,0.0027818341430968898,1.9566368613966308e-05,0.1873266770549255,0.0
2009-02-01,0,0,0.005019890789359639,0.5309400886310883,0.005019890789359639,0.00042196527593605916,0.023618209021498086,0.0001483232788112315,0.4398515230033057
2009-03-01,3,0,0.06918936013118294,0.004374893398149472,0.06918936013118294,0.2192652944397323,0.6336472549791269,0.07350643557030029,1.6761481508421105e-05
2009-04-01,4,0,0.0757364825810548,0.02728616712995412,1.358582033585295e-11,0.0757364825810548,0.0809075339007054,0.8150385357390423,0.0010312806356565412
2009-05-01,4,0,0.38950197583795537,0.008267067809872585,0.0011105488762915446,0.38950197583795537,0.001751054056942436,0.5855233601608688,0.013845993258070316
2009-06-01,0,0,0.006257352792672397,0.7626417350537195,0.006257352792672397,0.0014439615605655665,0.0002789615311731665,0.009810997248227335,0.2195669918136415
2009-07-01,1,0,0.23757235476327795,0.23757235476327795,0.44091116986215273,0.18539299174947604,0.001095772866738421,0.13502499406254537,2.7166958088544515e-06
2009-08-01,0,0,0.023114849321675773,0.5715717699301678,0.00010077616564269109,0.023114849321675773,0.35695753097369454,0.03310744279348645,0.01514763081533285
2009-09-01,1,0,0.0038373849398555143,0.0,0.6182897404926643,0.36079953186714697,0.017073107572299753,0.0038373849398555143,2.3512803399426268e-07
2009-10-01,1,0,0.037476358134708176,0.3705625944835969,0.5150568752230049,0.02952378617085006,0.006682243094955728,0.04069814289288569,0.037476358134708176
