sasdate,state,crisis,p_state0,p_state1,p_state2,p_state3,p_state4,p_state5
1976-03-01,3,0,5.605692520737258e-245,3.500639244959466e-209,3.3937931233194074e-305,1.0,3.830899445485731e-135,6.067984919137177e-168
1976-04-01,3,0,0.0031178330774637914,1.2890413846639807e-17,8.693210027854757e-70,0.9966171124168771,1.9202655901385815e-28,0.00026505450565927354
1976-05-01,3,0,0.01214739841530074,1.1510498135616274e-05,1.5652732981225603e-05,0.9830282493092213,1.3282047757025474e-10,0.004797188911541602
1976-06-01,3,0,0.006652634530160992,5.407493877943188e-06,1.9156560675935726e-07,0.99287340117244,2.0853482026864837e-06,0.00046627988971506464
1976-07-01,3,0,0.0009228870778952104,5.911519969117777e-05,8.856196944638862e-08,0.9896597779308975,8.799256951341263e-07,0.009357251303850966
1976-08-01,3,0,0.004615081229681117,3.659081253816928e-07,1.085756457706001e-08,0.995023825341262,8.115860987196646e-06,0.00035260080237872624
1976-09-01,3,0,0.0058764807026042585,3.32014465304373e-07,3.935706415450117e-08,0.9939401781317404,6.9290947722768e-07,0.0001822768846498992
1976-10-01,3,0,0.005120554753366851,2.2379996637211344e-06,1.7698895217982648e-07,0.9941726528760042,4.836129079950852e-08,0.0007043290207257935
1976-11-01,3,0,0.0026409792751865865,2.001796477950422e-05,3.1931966003133653e-07,0.9889804549050601,1.206809153077935e-07,0.008358107854395438
1976-12-01,3,0,0.0004585868498674216,2.0635681785186785e-06,2.0177975273679285e-07,0.9958230472106276,0.00020536293007307268,0.003510737661495248
1977-01-01,3,0,0.0003862829507926884,7.418638260993683e-05,1.304315097392936e-07,0.8474688858092203,8.971976210987763e-08,0.15207042470610785
1977-02-01,3,0,0.0006211668972391658,1.4856615504247371e-07,6.214198971325253e-09,0.9967374981687516,0.0007883814144095672,0.0018527987392521384
1977-03-01,3,0,0.0009640271746354088,1.3336040820848347e-07,5.687858993102168e-09,0.9984251207358987,1.7702101344389153e-05,0.0005930109398591364
1977-04-01,3,0,0.000493202753349591,6.515703646389356e-07,2.744625841335186e-09,0.99823311180259,3.226501825145025e-05,0.0012407661108142503
1977-05-01,3,0,0.0002115266204388246,3.165127667119841e-07,5.051546122116237e-09,0.9968969996176938,6.997478279918652e-05,0.002821177414755173
1977-06-01,3,0,0.00045790359975118736,2.985814583015303e-07,2.236187458606436e-09,0.9898490942480981,7.317358351971616e-05,0.009619527750993496
1977-07-01,3,0,0.0004903388670265078,2.4328525801358217e-06,5.511284932364947e-08,0.989481302220824,3.0464301708647602e-06,0.010022824516542952
1977-08-01,3,0,0.0009536579299934223,7.681357204641312e-08,1.6278821470409212e-08,0.997726210411246,9.616275267687543e-05,0.0012238758136838617
1977-09-01,3,0,0.004732542967589546,1.465358339995387e-07,4.528548924284571e-08,0.9948156397066144,6.447691735505096e-07,0.0004509807353119154
1977-10-01,3,0,0.015769925098483257,3.621789670426349e-06,3.0678672865209885e-07,0.9836709169248287,1.2619736324610976e-08,0.000555216780552236
1977-11-01,3,0,0.010331810135243442,3.9513149743132405e-06,3.7724149882004536e-07,0.9890335826919537,1.1993294414955978e-06,0.0006290792868998516
1977-12-01,3,0,0.018088875397802764,1.8609470630267002e-06,4.096520049732683e-07,0.9816871065339153,7.475735671990162e-08,0.00022167271186972196
1978-01-01,3,0,0.0029687730128211986,0.0001429560381534318,7.953439009026464e-07,0.9878938018589523,6.297833928371872e-07,0.008993043962770496
1978-02-01,3,0,0.0016654526991795628,1.361231696773391e-06,3.936759022980679e-08,0.997281900091301,4.250999679495852e-05,0.001008736613429674
1978-03-01,3,0,0.004818743031070773,3.883004538547672e-06,1.5004234108276345e-06,0.9916250187268912,3.4551783977362815e-07,0.003550509296238815
1978-04-01,3,0,0.043868863231242866,1.5092222601190336e-05,1.6043292340622398e-06,0.9523294315242937,1.1070946436388679e-07,0.00378489798316918
1978-05-01,3,0,0.03782610822183548,2.2954271544002572e-05,2.8245225126123863e-05,0.9602423545695187,1.8257758089481852e-07,0.0018801551344165566
1978-06-01,3,0,0.006027276004655746,0.00017446474004699424,2.243080543626265e-06,0.9899475562898923,1.5629083683439383e-06,0.0038468969765038316
