sasdate,state,crisis,p_state0,p_state1,p_state2,p_state3,p_state4,p_state5
1976-03-01,3,0,5.0668907132605655e-247,9.141996254915835e-120,1.906537320586377e-304,1.0,2.194942714390752e-191,1.4672236389313242e-251
1976-04-01,3,0,5.39732082740651e-05,0.0006000810630851849,4.284433268051701e-105,0.998154242317481,0.0011917034111605792,1.4927641063670965e-62
1976-05-01,3,0,0.005986142866877352,0.01655999674839233,5.6037234101057345e-06,0.9755037265142031,0.0019445301470775915,3.9883690957885696e-14
1976-06-01,3,0,0.00015605465163547657,0.0014522245662758318,2.2407030280265917e-08,0.9981516441052432,0.00024000711227452646,4.715753909940603e-08
1976-07-01,3,0,0.000668952171891322,0.005462736107949275,1.721839180097646e-08,0.993356852393131,0.0005114415255842017,5.830498365255815e-10
1976-08-01,3,0,5.740305449770913e-05,0.00037970392804792595,3.2937813725671603e-09,0.9992633718447894,0.00029949943596118127,1.844292597884958e-08
1976-09-01,3,0,0.0005230564939587197,0.002731399973041459,6.99446019966261e-09,0.9965874162614886,0.00015810054182665786,1.973522330473977e-08
1976-10-01,3,0,0.00013788766095202705,0.0007068478061744187,1.4813774593393879e-09,0.9988836417223326,0.0002716178376131987,3.4915478808971043e-09
1976-11-01,3,0,0.0005061882574824917,0.0049402901089773835,2.6373484220691757e-08,0.9927358524724874,0.0018176427875649743,2.0908468835861276e-15
1976-12-01,3,0,5.909317445112314e-05,0.0012768938865070128,7.043828485677018e-08,0.9971577080131013,0.0015062292350818678,5.252572755149807e-09
1977-01-01,3,0,0.002134681289779735,0.002849879149228908,5.930116364528802e-07,0.9939356050395888,0.001079241509758578,6.804343238541574e-16
1977-02-01,3,0,9.035866949495973e-05,0.00023843276811828185,2.5067488202296663e-09,0.9995880719717389,8.108414383488759e-05,2.0499400653754686e-06
1977-03-01,3,0,0.00010110822543961634,0.0010435856300271852,9.192200829357823e-10,0.998280911764297,0.0005743909288136143,2.532199031030624e-09
1977-04-01,3,0,5.8134428610155617e-05,0.0006064375812844191,8.31769868007389e-09,0.998848051887342,0.0004873668247581412,9.603106403274536e-10
1977-05-01,3,0,0.0002815593497219691,0.0004158064111088277,6.275130430503857e-09,0.9992040863281544,9.853858426275907e-05,3.0516204094769235e-09
1977-06-01,3,0,0.00014995400967630218,0.0007498886567205078,6.379293946642393e-10,0.9989666187369936,0.0001334688394621582,6.91192137055764e-08
1977-07-01,3,0,0.06428913242650644,0.0846758652430929,1.3474799492739807e-07,0.8509657752538659,6.909201503416174e-05,3.1350350548276355e-10
1977-08-01,3,0,0.0003821355991352941,0.001420370942330617,1.1155240027668006e-09,0.997395752859248,0.0008005315267473373,1.2079570141218726e-06
1977-09-01,3,0,6.218544928282973e-05,0.0004259695736389004,3.034694897258009e-08,0.9969152990172581,0.002596515543572454,6.930361677379237e-11
1977-10-01,3,0,0.00014364267085958753,0.001503409742557956,5.694330359874334e-07,0.9887858274332475,0.009566550719852266,4.408997388383686e-13
1977-11-01,3,0,2.3620259812002368e-05,0.0007996322673158938,5.833377249928535e-07,0.991266537112426,0.007909626950382333,7.234326992780938e-11
1977-12-01,3,0,2.7404378039741198e-05,0.0006209348270485692,6.686990462453397e-07,0.9822805992643419,0.01707039280456557,2.69663936604202e-11
1978-01-01,3,0,0.0004234328141926138,0.005291653764006645,8.851653638102879e-06,0.9813556788344698,0.012920382931642943,2.060923511117404e-12
1978-02-01,3,0,2.4712409034005393e-05,0.00033443971660211897,1.877159704368112e-07,0.9964832073410475,0.0031574469275471163,5.889807381573143e-09
1978-03-01,4,0,0.00020269914786191643,0.014403554410370218,1.7131866132438034e-05,0.8752437773246602,0.11013283725038295,6.056931712820983e-13
1978-04-01,4,0,0.0002265738098721078,0.02415340293972303,0.003196442678772153,0.3148097571002214,0.6576138234712509,1.6802236472483607e-13
1978-05-01,4,0,4.213591101229372e-06,0.0006151212602691139,0.00017903894633254365,0.06352252907590235,0.9356790971261735,2.301485575485791e-13
1978-06-01,4,0,0.00026794297178581704,0.04621754366722475,0.0026423005686577487,0.17201930834381798,0.7788529044389279,9.58210508548291e-12
1978-07-01,4,0,4.861952743433126e-06,0.0034168630214070953,0.00042435437611564503,0.07774160376474205,0.9184123168818651,3.136564842360274e-12
1978-08-01,4,0,1.7887857931263428e-06,0.0013603720795884382,0.013697782990707561,0.0005305597984061924,0.9844094963455181,3.7321082557679915e-20
1978-09-01,4,0,5.609257104028961e-10,5.0065797819758625e-05,0.0019286360748484426,1.1964236703623552e-06,0.9980201011427413,5.75991437054917e-23
1978-10-01,4,0,2.4157199410283337e-09,0.027173994325707558,0.6692952913169188,1.8088846894307066e-10,0.30353071176075164,9.748627887014193e-42
1978-11-01,4,0,3.186997941666157e-10,0.00607194515856423,0.06439400045078546,0.000287755524835608,0.9292462985471235,3.2029035018710613e-19
1978-12-01,4,0,1.3739807417279785e-10,6.226981664338723e-05,0.0030875217542850695,2.2757430093045026e-06,0.9968479325486608,9.839961060693256e-25
1979-01-01,4,0,1.1029178147980758e-12,0.00028677736473899546,0.04816404164314782,7.950457149448054e-10,0.9515491801959726,8.66197165078956e-28
1979-02-01,4,0,6.030334523282326e-14,7.826706328766215e-05,0.0027288713649591995,6.232133534840235e-08,0.9971927992503483,1.616504548712045e-26
1979-03-01,4,0,3.715672503275401e-14,0.00016498852362915208,0.002133605443510665,1.1174724030977441e-08,0.9977013948580822,6.582053939941585e-28
1979-04-01,4,0,8.682160801791148e-15,2.2608506435216996e-05,0.0020433383882263283,4.998136355873983e-09,0.9979340481072195,3.074025699693017e-29
1979-05-01,4,0,2.7647782663859523e-14,0.0004600939170564194,0.007359598282363614,3.4467432239017017e-09,0.9921803043538127,1.9650474784763816e-29
1979-06-01,4,0,4.12757811471324e-14,9.587796549658381e-05,0.01624807273596111,2.98820362755552e-09,0.9836560463102879,4.761708536308287e-38
1979-07-01,4,0,3.113258738305126e-14,8.549625827278813e-05,0.0014853614157151688,5.426172203958453e-08,0.998429088064262,2.5630976920786678e-27
1979-08-01,4,0,2.879774648654879e-14,3.090360037637939e-05,0.07264258633189248,1.739350858350491e-11,0.9273265100503348,9.376414537032359e-40
1979-09-01,4,0,1.0786510667936343e-15,1.3401298912128576e-05,0.01541407657982146,1.9952438615148204e-10,0.9845725219217523,1.4088679485669067e-32
1979-10-01,2,1,1.0842232645350639e-19,3.016620194249914e-10,0.9999999996878159,6.139855527835942e-30,1.0524205373732895e-11,2.4889499327197113e-106
1979-11-01,2,1,1.220101292008879e-22,9.044196106310192e-15,0.9999798869457308,5.696658746679792e-23,2.0113054265550223e-05,4.855529760642914e-60
1979-12-01,2,1,3.236690429457783e-27,8.389164296966724e-12,0.9993997410705338,1.4466405023570523e-23,0.0006002589210554101,4.9385268105439494e-48
