gamma,regime_source,month,strategy,return,predicted_state
0.02,altdata_bnmeanrank_hmm,2011-03-01,RSDR-CVaR,0.004366999999999999,3
0.02,altdata_bnmeanrank_hmm,2011-04-01,SAA-CVaR,0.05705521738869795,3
0.02,altdata_bnmeanrank_hmm,2011-04-01,DR-CVaR,0.031962444444444446,3
0.02,altdata_bnmeanrank_hmm,2011-04-01,RS-CVaR,0.048080052872064856,3
0.02,altdata_bnmeanrank_hmm,2011-04-01,RSDR-CVaR,0.030890100000000004,3
0.02,altdata_bnmeanrank_hmm,2011-05-01,SAA-CVaR,0.024940021581008713,3
0.02,altdata_bnmeanrank_hmm,2011-05-01,DR-CVaR,-0.0061904444444444455,3
0.02,altdata_bnmeanrank_hmm,2011-05-01,RS-CVaR,0.018244641653414634,3
0.02,altdata_bnmeanrank_hmm,2011-05-01,RSDR-CVaR,-0.008311800000000001,3
0.02,altdata_bnmeanrank_hmm,2011-06-01,SAA-CVaR,-0.021648998341459516,3
0.02,altdata_bnmeanrank_hmm,2011-06-01,DR-CVaR,-0.015208888888888892,3
0.02,altdata_bnmeanrank_hmm,2011-06-01,RS-CVaR,-0.019435810183653757,3
0.02,altdata_bnmeanrank_hmm,2011-06-01,RSDR-CVaR,-0.014127599999999997,3
0.02,altdata_bnmeanrank_hmm,2011-07-01,SAA-CVaR,-0.021670148849012867,3
0.02,altdata_bnmeanrank_hmm,2011-07-01,DR-CVaR,-0.020189333333333333,3
0.02,altdata_bnmeanrank_hmm,2011-07-01,RS-CVaR,-0.011654607389521711,3
0.02,altdata_bnmeanrank_hmm,2011-07-01,RSDR-CVaR,-0.0216248,3
0.02,altdata_bnmeanrank_hmm,2011-08-01,SAA-CVaR,-0.005653613300295739,5
0.02,altdata_bnmeanrank_hmm,2011-08-01,DR-CVaR,-0.046834111111111104,5
0.02,altdata_bnmeanrank_hmm,2011-08-01,RS-CVaR,-0.007127269336136128,5
0.02,altdata_bnmeanrank_hmm,2011-08-01,RSDR-CVaR,-0.0491752,5
0.02,altdata_bnmeanrank_hmm,2011-09-01,SAA-CVaR,-0.03666652561745663,5
0.02,altdata_bnmeanrank_hmm,2011-09-01,DR-CVaR,-0.065954,5
0.02,altdata_bnmeanrank_hmm,2011-09-01,RS-CVaR,-0.05333267483911508,5
0.02,altdata_bnmeanrank_hmm,2011-09-01,RSDR-CVaR,-0.0689398749999999,5
0.02,altdata_bnmeanrank_hmm,2011-10-01,SAA-CVaR,0.05020249850131884,5
0.02,altdata_bnmeanrank_hmm,2011-10-01,DR-CVaR,0.11207468807565395,5
0.02,altdata_bnmeanrank_hmm,2011-10-01,RS-CVaR,0.07534788961553719,5
0.02,altdata_bnmeanrank_hmm,2011-10-01,RSDR-CVaR,0.10730099871928264,5
0.02,altdata_bnmeanrank_hmm,2011-11-01,SAA-CVaR,0.021714479118375832,3
0.02,altdata_bnmeanrank_hmm,2011-11-01,DR-CVaR,0.0006736923941476,3
0.02,altdata_bnmeanrank_hmm,2011-11-01,RS-CVaR,0.01846127566796021,3
0.02,altdata_bnmeanrank_hmm,2011-11-01,RSDR-CVaR,0.005867543904863213,3
0.02,altdata_bnmeanrank_hmm,2011-12-01,SAA-CVaR,0.028110032651266888,3
0.02,altdata_bnmeanrank_hmm,2011-12-01,DR-CVaR,0.008949132190082226,3
