gamma,regime_source,strategy,n_months,ann_return,ann_vol,sharpe,max_drawdown,VaR_95_loss,CVaR_95_loss,final_wealth,avg_turnover,max_turnover
0.02,altdata_bnmeanrank_hmm,DR-CVaR,156,0.11803720946291651,0.138949393139945,0.8494978408724213,-0.20330352329775825,0.061713749756636405,0.08284695138888887,4.2651209211077035,0.01773351475881597,0.40393807141284216
0.02,altdata_bnmeanrank_hmm,RS-CVaR,156,0.13029594578912307,0.12094786622600762,1.077290156947848,-0.1394934338305137,0.05314265097572038,0.06610355167421286,4.914713523427185,0.21745986723192062,1.4930588650365375
0.02,altdata_bnmeanrank_hmm,RSDR-CVaR,156,0.11668591488587365,0.1391682470917682,0.8384521420962529,-0.19795228801840858,0.05954479166666665,0.08352714885912695,4.198590295459081,0.1242104486533644,0.8888888888888891
0.02,altdata_bnmeanrank_hmm,SAA-CVaR,156,0.12311534764111975,0.12195690385977934,1.0094987962524233,-0.1859520076650063,0.05276231706817283,0.07498984704145982,4.523938645534659,0.05708938804335261,0.979452279975014
0.02,altdata_bnmeanrank_hmm,Equal_Weight_ETF,156,0.12136737394184327,0.1464705930399667,0.8286125659962772,-0.232584905123837,0.063515075,0.08983312499999999,4.433257021228954,,
0.02,altdata_bnmeanrank_hmm,SPY_Benchmark,156,0.12066699986945961,0.14823141969447873,0.8140446884889019,-0.23916574077604147,0.06909875,0.087950875,4.397396087157718,,
0.04,altdata_bnmeanrank_hmm,DR-CVaR,156,0.11422777392520467,0.14336944584347208,0.796737221471277,-0.21688662754900856,0.06592122222222223,0.08695317854867168,4.080014783740513,0.006968362476771559,0.20000000000000007
0.04,altdata_bnmeanrank_hmm,RS-CVaR,156,0.13029594578912307,0.12094786622600762,1.077290156947848,-0.1394934338305137,0.05314265097572038,0.06610355167421286,4.914713523427185,0.21745986723192062,1.4930588650365375
0.04,altdata_bnmeanrank_hmm,RSDR-CVaR,156,0.1109027793386792,0.14147767959687374,0.7838888767096364,-0.2125190705972062,0.063515075,0.08520621160714284,3.924539397031898,0.05464660102938811,0.6666666666666667
0.04,altdata_bnmeanrank_hmm,SAA-CVaR,156,0.12311534764111975,0.12195690385977934,1.0094987962524233,-0.1859520076650063,0.05276231706817283,0.07498984704145982,4.523938645534659,0.05708938804335261,0.979452279975014
0.04,altdata_bnmeanrank_hmm,Equal_Weight_ETF,156,0.12136737394184327,0.1464705930399667,0.8286125659962772,-0.232584905123837,0.063515075,0.08983312499999999,4.433257021228954,,
0.04,altdata_bnmeanrank_hmm,SPY_Benchmark,156,0.12066699986945961,0.14823141969447873,0.8140446884889019,-0.23916574077604147,0.06909875,0.087950875,4.397396087157718,,
0.06,altdata_bnmeanrank_hmm,DR-CVaR,156,0.1194298919877741,0.14525802621191852,0.8221913453067062,-0.232584905123837,0.06392655943577656,0.09002048374216266,4.334706482114557,0.004896803834785738,0.17662908382815923
0.06,altdata_bnmeanrank_hmm,RS-CVaR,156,0.13029594578912307,0.12094786622600762,1.077290156947848,-0.1394934338305137,0.05314265097572038,0.06610355167421286,4.914713523427185,0.21745986723192062,1.4930588650365375
0.06,altdata_bnmeanrank_hmm,RSDR-CVaR,156,0.1146622009402547,0.14548242659974386,0.7881515563093898,-0.232584905123837,0.06452343055555557,0.0888903236111111,4.100743106465259,0.01754765948905429,0.5999999999999999
0.06,altdata_bnmeanrank_hmm,SAA-CVaR,156,0.12311534764111975,0.12195690385977934,1.0094987962524233,-0.1859520076650063,0.05276231706817283,0.07498984704145982,4.523938645534659,0.05708938804335261,0.979452279975014
0.06,altdata_bnmeanrank_hmm,Equal_Weight_ETF,156,0.12136737394184327,0.1464705930399667,0.8286125659962772,-0.232584905123837,0.063515075,0.08983312499999999,4.433257021228954,,
0.06,altdata_bnmeanrank_hmm,SPY_Benchmark,156,0.12066699986945961,0.14823141969447873,0.8140446884889019,-0.23916574077604147,0.06909875,0.087950875,4.397396087157718,,
0.08,altdata_bnmeanrank_hmm,DR-CVaR,156,0.12136737394184305,0.14647059303996668,0.8286125659962759,-0.232584905123837,0.06351507499999995,0.08983312499999999,4.433257021228946,1.2066558578538159e-15,2.2551405187698492e-14
0.08,altdata_bnmeanrank_hmm,RS-CVaR,156,0.13029594578912307,0.12094786622600762,1.077290156947848,-0.1394934338305137,0.05314265097572038,0.06610355167421286,4.914713523427185,0.21745986723192062,1.4930588650365375
0.08,altdata_bnmeanrank_hmm,RSDR-CVaR,156,0.11397633137525442,0.14522615622114302,0.7848195830625515,-0.23258490512383712,0.06452343055555557,0.0888903236111111,4.068061645590725,0.012277004218400021,0.4
0.08,altdata_bnmeanrank_hmm,SAA-CVaR,156,0.12311534764111975,0.12195690385977934,1.0094987962524233,-0.1859520076650063,0.05276231706817283,0.07498984704145982,4.523938645534659,0.05708938804335261,0.979452279975014
0.08,altdata_bnmeanrank_hmm,Equal_Weight_ETF,156,0.12136737394184327,0.1464705930399667,0.8286125659962772,-0.232584905123837,0.063515075,0.08983312499999999,4.433257021228954,,
0.08,altdata_bnmeanrank_hmm,SPY_Benchmark,156,0.12066699986945961,0.14823141969447873,0.8140446884889019,-0.23916574077604147,0.06909875,0.087950875,4.397396087157718,,
0.1,altdata_bnmeanrank_hmm,DR-CVaR,156,0.12136737394184305,0.14647059303996668,0.8286125659962759,-0.232584905123837,0.06351507499999995,0.08983312499999999,4.433257021228946,1.2066558578538159e-15,2.2551405187698492e-14
0.1,altdata_bnmeanrank_hmm,RS-CVaR,156,0.13029594578912307,0.12094786622600762,1.077290156947848,-0.1394934338305137,0.05314265097572038,0.06610355167421286,4.914713523427185,0.21745986723192062,1.4930588650365375
0.1,altdata_bnmeanrank_hmm,RSDR-CVaR,156,0.11443074894299099,0.1450806041983352,0.7887391259175917,-0.232584905123837,0.06452343055555557,0.0888903236111111,4.089687499783592,0.011538461538464809,0.2000000000000044
0.1,altdata_bnmeanrank_hmm,SAA-CVaR,156,0.12311534764111975,0.12195690385977934,1.0094987962524233,-0.1859520076650063,0.05276231706817283,0.07498984704145982,4.523938645534659,0.05708938804335261,0.979452279975014
0.1,altdata_bnmeanrank_hmm,Equal_Weight_ETF,156,0.12136737394184327,0.1464705930399667,0.8286125659962772,-0.232584905123837,0.063515075,0.08983312499999999,4.433257021228954,,
0.1,altdata_bnmeanrank_hmm,SPY_Benchmark,156,0.12066699986945961,0.14823141969447873,0.8140446884889019,-0.23916574077604147,0.06909875,0.087950875,4.397396087157718,,
