gamma,regime_source,rebalance_month,strategy,success,objective,VaR_v,theta_used,robust_norm_value,robust_penalty_component,max_weight,effective_n_assets,predicted_state,predicted_state_prob,regime_weight_max,regime_weight_argmax,message,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
0.02,altdata_bnmeanrank_hmm,2010-01-01,SAA-CVaR,True,0.08896570301909253,0.06542733227772776,0.0,1.0,0.0,0.5257662867199413,2.9939067001213826,3,0.9940951203249504,0.904060665180031,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.0,0.09646133430542966,0.0,0.0,0.14002553717820104,0.5257662867199413,0.0,0.1331534043161426,0.10459343748028532
0.02,altdata_bnmeanrank_hmm,2010-01-01,DR-CVaR,True,0.13613253479648013,0.08779377777777785,0.012391157325082714,0.11111111111111117,0.027535905166850467,0.11111111111111142,9.0,3,0.9940951203249504,0.904060665180031,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.11111111111111117,0.0,0.11111111111111117,0.11111111111111117,0.11111111111111142,0.11111111111111117,0.11111111111111117,0.11111111111111034,0.11111111111111117,0.11111111111111117
0.02,altdata_bnmeanrank_hmm,2010-01-01,RS-CVaR,True,0.030607239297421405,0.01803780161876589,0.0,1.0,0.0,0.4123214086830229,3.602778155081594,3,0.9940951203249504,0.904060665180031,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.05418778093829845,0.22784199699804686,0.0,0.0,0.0,0.09807157370006592,0.20757723968056585,0.4123214086830229,0.0
0.02,altdata_bnmeanrank_hmm,2010-01-01,RSDR-CVaR,True,0.07138057824968935,0.0260135,0.014027800140257325,0.09999999999999999,0.028055600280514622,0.10000000000000006,10.0,3,0.9940951203249504,0.904060665180031,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.09999999999999999,0.10000000000000005,0.09999999999999999,0.10000000000000005,0.10000000000000006,0.09999999999999991,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999
0.02,altdata_bnmeanrank_hmm,2010-02-01,SAA-CVaR,True,0.08896570301909253,0.06542733227772776,0.0,1.0,0.0,0.5257662867199413,2.9939067001213826,3,0.9872630791090302,0.901055077612374,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.0,0.09646133430542966,0.0,0.0,0.14002553717820104,0.5257662867199413,0.0,0.1331534043161426,0.10459343748028532
0.02,altdata_bnmeanrank_hmm,2010-02-01,DR-CVaR,True,0.13613253479648013,0.08779377777777785,0.012391157325082714,0.11111111111111117,0.027535905166850467,0.11111111111111142,9.0,3,0.9872630791090302,0.901055077612374,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.11111111111111117,0.0,0.11111111111111117,0.11111111111111117,0.11111111111111142,0.11111111111111117,0.11111111111111117,0.11111111111111034,0.11111111111111117,0.11111111111111117
0.02,altdata_bnmeanrank_hmm,2010-02-01,RS-CVaR,True,0.032003089486623594,0.019295449522821948,0.0,1.0,0.0,0.34903752113469394,3.720494263210981,3,0.9872630791090302,0.901055077612374,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.0,0.2653071731773495,0.0,0.0,0.0,0.22600443354451347,0.15965087214344303,0.34903752113469394,0.0
0.02,altdata_bnmeanrank_hmm,2010-02-01,RSDR-CVaR,True,0.07452921665801573,0.028946555555555538,0.013991704319419027,0.11111111111111112,0.03109267626537559,0.11111111111111151,9.000000000000007,3,0.9872630791090302,0.901055077612374,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.11111111111111112,0.11111111111111047,0.11111111111111112,0.11111111111111094,0.11111111111111151,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112
0.02,altdata_bnmeanrank_hmm,2010-03-01,SAA-CVaR,True,0.08276453977362638,0.051389786240397015,0.0,1.0,0.0,0.5646762332006093,2.3922995134398146,3,0.9996130257505977,0.9138353642386294,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.0,0.0,0.0,0.0,0.0,0.5646762332006093,0.08440153656938128,0.29885436130342513,0.05206786892658427
0.02,altdata_bnmeanrank_hmm,2010-03-01,DR-CVaR,True,0.13613253479648005,0.08779377777777778,0.012391157325082714,0.11111111111111112,0.027535905166850453,0.11111111111111112,9.0,3,0.9996130257505977,0.9138353642386294,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.11111111111111112,0.0,0.11111111111111105,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112
