date,state,p_state0,p_state1,p_state2,p_state3,p_state4,p_state5
1976-03-01,3,8.195500605848652e-108,7.098297846968683e-48,1.2186356643985213e-159,1.0,6.433623489842795e-75,3.36946192591292e-82
1976-04-01,3,2.86383056555919e-05,0.0007021333675137051,3.519043234740498e-18,0.9991111307600902,0.00015809756674081877,1.6512212414676877e-24
1976-05-01,3,0.0033531784909028787,0.023163161144511033,2.7468229080562306e-07,0.9529491187796227,0.020534266902532988,1.3841277316515977e-13
1976-06-01,3,9.56169432428628e-05,0.0021012623415477064,3.065984493207395e-08,0.9975070931170837,0.00029593960036569347,5.7337916702581206e-08
1976-07-01,3,0.0003668477691469927,0.006311254694969502,2.5797878566526143e-08,0.9932050087712231,0.00011686215582815261,8.109512561581338e-10
1976-08-01,3,3.7629053168132564e-05,0.0005545596765650363,4.1302083001326194e-10,0.9993295562753307,7.823359549024085e-05,2.098642521543519e-08
1976-09-01,3,0.000271760012632395,0.0034987350534982737,1.3818465277217115e-09,0.9961697459461795,5.9738520816626665e-05,1.9085024271671927e-08
1976-10-01,3,8.803164501236245e-05,0.0009767989419995156,3.7258142515982283e-10,0.9988541270961903,8.103769504261774e-05,4.249174905259244e-09
1976-11-01,3,0.00023502208624767685,0.0041455312976946355,9.045456039384689e-10,0.9949417637045976,0.00067768200690603,8.018591116986021e-15
1976-12-01,3,2.7766260198570587e-05,0.0012442296658307366,6.654940419863675e-10,0.9984171274948083,0.00031087168961720107,4.2240575556428645e-09
1977-01-01,3,0.00101312066333053,0.0029826207123954795,1.68546441486145e-07,0.9953014020220844,0.0007026880557436573,3.882853796867453e-15
1977-02-01,3,6.549928608141785e-05,0.0004107919979337955,9.242397340127042e-10,0.9994896025095112,3.229366596845485e-05,1.8116162623755067e-06
1977-03-01,3,5.61290279495818e-05,0.0012192158710067748,8.050067272673095e-11,0.9986477972270571,7.685419912781059e-05,3.594360002491065e-09
1977-04-01,3,3.248577410490101e-05,0.0007736028790892401,1.5501856639434219e-10,0.9990809903079735,0.0001129196323478615,1.2514705468576496e-09
1977-05-01,3,0.0001869881971146703,0.0007247522602561615,1.187579673989791e-09,0.9989816947384333,0.00010655909655856466,4.5200508475771605e-09
1977-06-01,3,8.236141882036858e-05,0.0010069959366957113,1.6645282299536524e-10,0.9988589875743964,5.1585448466525324e-05,6.945516738628885e-08
1977-07-01,3,0.028171356589284505,0.09883319167737818,9.578529014280532e-08,0.8728603345827537,0.00013502073870700886,6.265908451868932e-10
1977-08-01,3,0.00017968253933836742,0.0019698160141779068,1.2242988735951965e-09,0.9977237041313055,0.0001257015401139677,1.0945507676707685e-06
1977-09-01,3,2.911292334082378e-05,0.00048365303983829245,1.423536844770067e-09,0.9991144634179894,0.00037276908996273665,1.0533880968959293e-10
1977-10-01,3,5.280927103427967e-05,0.0012385049172818378,7.549691615204141e-08,0.9981541015284076,0.0005545087856517706,6.970811897332483e-13
1977-11-01,3,8.806508032829042e-06,0.0006145668964904887,2.4733879715965753e-09,0.9988105931432792,0.0005660309361921273,4.261653978361218e-11
1977-12-01,3,9.279466973809112e-06,0.0004644263932685567,7.2454795016946635e-09,0.9989558874891896,0.0005703993894843439,1.561630410623904e-11
1978-01-01,3,0.00017285706025977043,0.004721381946523344,4.410978198435686e-07,0.9945597530473343,0.0005455668461451119,1.92742498269243e-12
1978-02-01,3,1.2721251454175003e-05,0.00036438316284212696,3.7557874164303645e-09,0.999486541739155,0.0001363458596251047,4.231149249590012e-09
1978-03-01,3,2.9086946107893156e-05,0.004464734837204909,9.148598266253138e-09,0.9907624565822455,0.004743712485519344,3.2605774479969375e-13
1978-04-01,3,0.00012258648988341375,0.01785596186090242,1.1547362345009498e-05,0.8924930279580824,0.08951687632869865,7.856681293255488e-14
1978-05-01,3,1.2452702882445429e-05,0.0012627798892721007,5.076148256812582e-06,0.9587133645093819,0.04000632674902158,1.172454009522502e-12
1978-06-01,3,0.0006282143565937266,0.017674312042642318,0.00010550585340959394,0.9801756406503627,0.0014163270679346846,2.9062941952689728e-11
1978-07-01,3,1.754025219197794e-05,0.002708480317427283,2.2799072195861648e-07,0.9923420062373022,0.004931745179127261,2.3223851071384196e-11
1978-08-01,4,0.00012661894664603153,0.020216616602860775,7.30475723420521e-05,0.32689473767969923,0.6526889791984627,1.536746211763381e-17
1978-09-01,4,4.643847777897291e-07,0.0001616134485823417,0.0010314388432952092,0.013848061159895477,0.9849584221634575,1.9843720343577273e-19
1978-10-01,2,1.5290895419893594e-06,5.437749597443955e-05,0.9678153168790954,7.721649040481327e-07,0.03212800437048195,6.318242692910098e-37
1978-11-01,4,1.6845314844463586e-08,3.235216765355649e-05,0.0263671474010839,0.0009436788416138373,0.9726568047443312,2.8859668895724887e-15
1978-12-01,4,1.0150185205366186e-09,5.362058475587642e-07,0.007867670178742073,0.0021587694143463654,0.9899730231860375,2.0256007555796275e-21
1979-01-01,4,7.728723581572266e-11,1.2752049826052825e-07,0.0003805125777803389,2.2318428502932683e-05,0.9995970413959304,1.2615068675405434e-26
1979-02-01,4,2.5995837066828773e-11,1.3459067741326776e-08,0.007312514184709881,0.002609519196756597,0.9900779531334911,4.358636552504843e-23
1979-03-01,4,1.0934308748670364e-09,1.270786011846566e-06,0.0014002016036969202,0.0011865899775944017,0.997411936539267,4.148886474507908e-24
1979-04-01,4,1.1665174276583503e-10,7.272972355582343e-08,0.0023587001238303696,0.0003717963349659877,0.9972694306948544,1.5266467641111355e-23
1979-05-01,4,9.970623903937239e-10,5.943732117958531e-07,0.03605699730274882,0.0008114372489334211,0.9631309700780425,5.651813092063069e-24
1979-06-01,4,2.8427309229537802e-11,2.7143747950197494e-08,0.0011171073114157595,1.5129872588134527e-05,0.9988677356437985,2.558646704417342e-32
1979-07-01,4,4.1502185409241585e-11,1.4405006839225442e-08,0.017826282669116535,0.005908361414748222,0.976265341469641,1.0931526162587435e-22
1979-08-01,4,2.1141347923114502e-10,6.426938103640137e-08,0.0009494670349773573,2.0184642898198197e-06,0.9990484500199388,3.3642938430690905e-35
1979-09-01,4,8.42375982550644e-14,7.789798676080203e-11,0.004704312339329256,6.670095820136266e-05,0.9952289866244984,1.878982429953827e-27
1979-10-01,2,2.3132371449582016e-17,2.259218915582765e-16,0.9999994421954589,6.232355485455645e-25,5.578045153640359e-07,4.6260805312455e-99
1979-11-01,4,9.595230631490666e-24,3.3784355451114316e-20,0.03382435256203561,6.145351311133724e-16,0.9661756474379709,3.358329151603211e-54
1979-12-01,4,9.107649867917944e-26,1.6344107177416966e-22,0.00733266495537377,1.6407337135181503e-08,0.992667318637287,4.798655944411031e-48
1980-01-01,4,1.0513419011733717e-16,8.228438393107809e-14,0.0019145302746706389,1.7455816240712873e-06,0.9980837241436372,8.545222932065124e-46
1980-02-01,2,2.8457867977286092e-21,5.46116025394421e-20,0.9986373707860746,2.239354777073134e-23,0.001362629213918762,8.235217854203114e-103
1980-03-01,2,5.221318625024166e-26,1.099763033186782e-22,0.9999998626394225,6.006921747590723e-17,1.3736059650337752e-07,7.085386641405166e-49
1980-04-01,2,1.21723208931e-31,3.96312002106778e-28,0.7171105923187829,4.3678587985688e-25,0.2828894076812047,1.487428378686985e-73
1980-05-01,4,7.730687952685117e-38,2.144819358952081e-34,0.07967686726780099,7.466918048211279e-21,0.9203231327322006,1.3085660049121292e-92
1980-06-01,4,1.7875196821244098e-26,5.5384844775927226e-24,0.00017553920154727304,0.0026750613040298584,0.99714939949442,1.217210729544588e-48
1980-07-01,4,2.7810186197647685e-07,1.763226409681053e-05,0.0026994516695014216,0.0008104976764940038,0.9964721402880453,6.087649559853051e-43
1980-08-01,4,4.076779693533702e-12,9.534428640104983e-12,0.015873439963085302,7.776014562014208e-12,0.9841265600155004,2.996026001719746e-78
1980-09-01,4,1.0869100231605311e-19,2.202525141554601e-18,0.008530754160735756,1.4288909033659994e-12,0.9914692458378304,3.40378303100326e-66
1980-10-01,4,2.897434916127809e-23,1.8430796498447353e-21,0.10033849559865092,4.387160133003965e-13,0.8996615044009267,9.131151654659601e-80
1980-11-01,2,6.999473760890298e-24,1.8191087493090708e-20,0.9877784159467108,3.9955767825223847e-19,0.012221584053267226,4.3892188491924206e-101
1980-12-01,2,2.3236179541469134e-32,1.3185348473214644e-28,0.9973633735659966,1.4566873617905476e-19,0.0026366264339527028,9.809740062181949e-77
1981-01-01,2,2.040944108858992e-28,1.3174987894082517e-24,0.9906375045542803,7.62290228703003e-11,0.009362495369484813,4.548772372288561e-53
1981-02-01,2,1.1548209135560543e-22,1.5320695717995795e-19,0.9688940576029776,1.3872463901277628e-14,0.031105942397023946,1.5933858278983872e-61
1981-03-01,2,5.322074304520947e-31,2.607014666561952e-28,0.9711417336548659,1.5407419315183924e-27,0.028858266345124426,1.682047507576632e-127
1981-04-01,2,4.471606122252722e-52,2.4013179090401824e-49,0.9999998682285509,3.7805722890406423e-42,1.317714842945165e-07,1.0129295124191616e-145
1981-05-01,2,6.11166221765872e-53,1.8240906720639572e-49,0.47532676336959434,1.7116312046266494e-17,0.5246732366303786,1.1626999697135602e-82
1981-06-01,2,5.5983978609789986e-33,3.263155718667118e-29,0.9997793212655142,7.580054505061144e-20,0.00022067873448815427,1.959145606576296e-82
1981-07-01,2,3.262732670610834e-33,6.550637949633022e-31,0.9944210585167974,1.4411760583985228e-19,0.005578941483203236,5.053041946490387e-88
1981-08-01,2,2.612848981956154e-32,1.0146415817550832e-29,0.9992383541761197,1.2030433670048322e-17,0.0007616458238522703,8.128262418208732e-80
1981-09-01,2,1.097428937699253e-30,6.057760308027178e-27,0.9999738647682238,2.520975643607538e-21,2.6135231751363678e-05,1.445722281342005e-81
1981-10-01,2,1.5929008320931637e-35,1.2778008185138442e-33,0.7420741273495685,7.247623243890629e-30,0.2579258726504107,1.4234911369343072e-161
1981-11-01,2,2.128947469593257e-45,4.1611479469311275e-42,0.5401974634041885,4.581232541463965e-25,0.45980253659583503,9.077931476325143e-126
1981-12-01,2,4.352179307581582e-33,1.2698331964135904e-31,0.9328578286619778,2.357614006911308e-10,0.0671421711022432,1.3933257661994502e-91
1982-01-01,2,6.926186936471176e-21,1.129534503354096e-18,0.2817048956831121,3.300231934688872e-14,0.7182951043168392,1.0170113647682122e-75
1982-02-01,2,2.3398238872100904e-21,6.184858748545564e-18,0.883307556754417,4.633426148678263e-06,0.11668780981948389,3.58980582487537e-38
1982-03-01,4,1.5761929274955034e-16,2.299825210969373e-13,0.2076556446667678,3.675138839691293e-11,0.7923443552962397,1.4746939666515557e-50
1982-04-01,4,1.0369658267687504e-22,2.1576875780080115e-19,0.11019087641704757,8.253763832038614e-13,0.8898091235821012,1.298928820770306e-59
1982-05-01,2,1.5213733871528006e-21,2.1707094660532332e-18,0.43286892893980505,1.82837508021889e-09,0.5671310692318274,4.3752538395816886e-58
1982-06-01,2,1.4874586240933291e-19,5.520358098721231e-18,0.8690219090301436,2.467313745417099e-13,0.13097809096963922,1.3524624142459043e-80
1982-07-01,4,4.616698606476685e-25,1.891416543089122e-22,0.2804274313144396,2.866625978609835e-18,0.719572568685549,2.0110400683605434e-95
1982-08-01,4,6.598882240574954e-27,9.820452440081416e-25,0.004546599967831388,8.954674579667953e-17,0.9954534000321476,1.4750415830721875e-104
1982-09-01,4,1.810007336883298e-20,6.446222268046193e-19,0.0010195824394727787,0.00018594078820277643,0.9987944767723335,1.9918317754063804e-50
1982-10-01,4,1.359616907337315e-10,2.784876435328361e-07,0.000496417293623403,5.6914853051967245e-09,0.9995032983912813,7.125920938669801e-50
1982-11-01,4,1.1024876068690889e-12,5.366634172582802e-09,0.0004873768346885405,0.0015936342352277262,0.9979189835623495,7.057453604978003e-22
1982-12-01,4,3.855516867732971e-09,9.057207824893689e-07,0.0006310478196829124,0.0028180739049406766,0.9965499686991259,1.587557350231393e-28
1983-01-01,4,2.1282021747490582e-09,9.864378444729064e-07,0.0007523828755709876,0.008536498541586869,0.9907101300168406,2.5775138167505348e-19
1983-02-01,4,9.113876809037946e-08,6.513642244868161e-05,0.002046283809218283,0.009746563097783859,0.9881419255317612,4.34383968423541e-19
1983-03-01,4,2.7507820266766903e-09,3.928751743401764e-07,0.0010043027035943751,3.786543458905549e-05,0.9989574362358955,3.579657428416918e-30
1983-04-01,4,4.689740757596674e-12,3.6168334791017894e-09,0.00027723551662641593,2.7444718966294394e-05,0.9996953161428923,1.0325229538259782e-30
1983-05-01,4,9.615934737888983e-12,1.5668188631441744e-09,0.005199454354118478,0.0003793657659362737,0.9944211783034805,3.4773206418287117e-31
1983-06-01,4,1.2172420056323984e-09,2.793768848673523e-07,0.0007660273538636188,0.011776891509885638,0.9874568005420834,3.2832970599673155e-21
1983-07-01,4,6.369275239306534e-09,8.811895897490674e-07,0.025783489728997716,0.00022033101971617595,0.9739952916924525,5.8801929730165426e-30
1983-08-01,4,2.45215117119751e-10,1.1509310695099703e-07,0.003982183940108884,0.0049321078409683946,0.9910855928806498,8.607536412254725e-20
